Name,shortname,Parent,Type,Description,Population,AU,Languages,Source
Venus,,,Body,"Venus is Earth’s closest neighbor and the planet most like it in terms of size and geology. It is a rugged world of volcanic mountains, canyons, high plateaus, and sweeping volcanic planes crisscrossed by river-like magma channels. Much of the surface is basaltic rock. The climate of Venus is one of the most inhospitable in the solar system. Perhaps only the hideous radiation of the inner Jovian moons presents a more difficult challenge to transhuman colonization. The Venusian atmosphere is a superheated maelstrom of carbon dioxide and sulfuric acid, with an atmospheric pressure at its surface equivalent to that  ve kilometers below the surface of Earth’s oceans. Venus also lacks more than trace amounts of hydrogen, meaning that water must be imported in the form of iceteroids from the outer system.

Nonetheless, transhumanity has come to Venus and, with it, debate over how to make use of the planet. Venus has no permanently inhabited surface settlements other than a few mining camps and equipment and supply caches used by planetside researchers. Despite difficulties, transhumanity has found survival strategies that work here. The most surprising of these are the aerostats, lighter-than-carbon dioxide habitats that oat in the thick Venusian atmosphere. Aside from a few independents or ones loyal to the Planetary Consortium, these aerostats are the base of the new Morningstar Constellation power bloc. Notable for their research labs, nanofab design houses, software studios, and luxury resorts, the Constellation’s aerostats are increasingly at odds with Planetary Consortium and Lunar-Lagrange Alliance interests.

On some aerostats, areas populated only by indentured synthmorphs are open to the Venusian atmosphere. Some 5,000,000 transhumans live in aerostat habitats and another 10,000 on the surface. Roughly 350,000 transhumans live in habitats orbiting Venus.

Though the Planetary Consortium is considering the launch of a Venusian terraforming project, this plan is actively opposed by the Morningstar Constellation. The Constellation’s aerostats see the terraforming proposals—which include massive cometary bombardment or building a planet-sized sun shade to cool the atmosphere—as not only unworkable but disruptive to their lives and profits. 
",,0.72,,EP.89
Earth,,,Body,"Ecologically devastated and infested by the weird spawn of the TITANs, transhumanity’s homeworld doesn’t get many visitors. Earth’s once-populous urban regions are massive sprawls ruined by war and heavy weather, infested with dangerous artificial life and the occasional survivalist gang. Elsewhere, irradiated blast zones and desolate wasteland prevail. Due to harsh climatic conditions, the wilderness has been slow to reassert itself. Vast swaths of dead forest or burned grassland are common sights.

Even from orbit, Earth shows deep scars. Breaks in the sooty cloud cover created by orbital bombardment during the Fall reveal continents ravaged by coastal flooding, desertification, and radical temperature shifts. The only known detonation of an antimatter bomb within a planetary atmosphere, centered on what was the Chicago-waukee Metroplex in North America, left a crater over 200 kilometers wide wherein most matter was instantly vaporized. Craters left by mass driver bombardment dot the surface as well. Mass die-offs of lynchpin species like honey bees and krill destroyed entire ecosystems, leaving vast swathes of barren land and sea inhabited by only the most adaptable species. Most of Europe is sub-artic; much of Africa and North America, desert. Ironically, transhumanity’s deployment of nuclear weapons against TITAN surface installations arrested the effects of global warming by creating a nuclear winter. Nuclear attacks against Earth have ceased, but the Lunar mass drivers still occasionally hurl captured asteroids at suspected surface works created by remaining TITAN war machines. In any case, the damage from humanity’s warming of the globe was already done. The patterns of life on Earth, and the very face of the planet, have been irrevocably rewritten.

Earth once had multiple space elevators in operation, but with exception of the Kilimanjaro beanstalk, the others were destroyed during the Fall, wrapping around the planet as they crashed to Earth, leaving swathes of destruction. ",,1,,EP.90
Erato,,Luna,Habitat,"Erato (population 5 million) is a major mining center consisting of a series of heavily shielded surface domes and a vast underground city. Erato is centered around the Eratosthenes crater on the southern edge of the Mare Imbrium (Sea of Showers), in the northern hemisphere of the Earth-facing side of Luna. Erato has access to both the rich titanium deposits of the Mare Imbrium and fields of helium 3-abundant regolith.

Erato is one of the oldest mining settlements on Luna and one of the rst to become commercially viable. As such, many of the Lunar banks are centered around this city. The vaulted heights of the Great Cavern of Erato, originally excavated by a Sino-European conglomerate, reach a height of 1.5 kilometers at the apex, leaving room for a teeming city of gardens and towers grown from Lunar silicates and industrious nanobots, lit from above by sunlight entering via great mirrored vents.",5000000,,,EP.91
Luna,,Earth,Body,"The first planetary body to host permanent human habitation, Earth’s sole moon competes with Titan for the second largest population on a planetary body in the solar system and remains a lynchpin of culture and economic activity. Lunar history has been shaped dramatically by the Fall. Before the need to evacuate Earth arose, it was expected that Luna would remain largely an automated mining concern, never attaining a population of more than a few million. Luna was never seen as an economically viable location for colonization, the focus instead falling on Mars and the outer system.

When the Fall came, every polity that couldn’t hope for a shot at Mars or elsewhere set its sights on Luna. The Indians were the only great power that had invested heavily in Luna. The other three major settlements, Erato, Nectar, and Shackle, were multinational and hypercorp concerns with no strong national affiliations. These three cities swelled overnight into polyglot refugee camps, while the Indian settlement, New Mumbai, was nuked black by the corps when it became apparent that a TITAN infection had taken hold there.

Bereft of nationhood, Lunars developed their own resourceful, tough-minded culture that emerged as a counterbalance to the radicalism of the outer system and the excesses of Mars.

Transportation on Luna is largely by suborbital rocket, although trans-sonic bullet trains also operate along shorter routes. The major space port is at Nectar. There is also a skyhook—a massive orbiting satellite spaceport that drags a massive tether, which acts as a space elevator along a track running across the Lunar surface south of the equator. As a result, many smaller cities lie along the skyhook track.",,,,EP.91
Mars,,,Body,"Earth was the cradle of transhuman civilization, but Mars, with a population of 200 million, is now its heartland. When humanity began its spaceward diaspora, Luna was its first stop. Yet while Luna boasts a sizable population, Mars was the first world humans settled where they could thrive entirely on locally available resources. During the first few decades, the early Martian settlers dwelt in tin can hab units, extracting methane from the local atmosphere for rocket fuel and water from the Martian permafrost, farming in inflatable greenhouses, and eventually manufacturing enough greenhouse gases to warm the planetary climate to the point where transhumans could walk the Martian surface unprotected, save for oxygen respirators.

The second phase of the great project of terraforming Mars—husbanding plant life and microbes engineered to rapidly replace atmospheric carbon dioxide with oxygen—was already underway at the time of the Fall. A belt of orbital mirrors helps to heat the planet by focusing the sun’s rays. The spread of plant life is a long-term project that will take several centuries to produce a fully breathable atmosphere, but the nigh-immortal transhumans of Mars are prepared to be patient. A new homeworld is worth the wait. Research into new plants and micro-organisms capable of releasing oxygen and nitrogen into the Martian atmosphere at an ever-accelerating pace is a major focus of economic activity.

In the meantime, the red planet is a place of startling contrasts, from the stark beauty of its mountain ranges and high desert to the slowly greening bottomlands of the equatorial Valles Marineris canyon system. In these bottomlands, oxygen levels are slowly rising, and liquid water can now be found in canals that had already been dry for millions of years when transhumanity’s ancestors came down from the trees. Mars is a popular destination for travelers from around the system. Many Martians accrue wealth by operating lavish hotels, offering tours of historical sites, and leading wilderness expeditions to the rugged highlands and vast deserts of the untamed Martian frontier.

Mars now sports ve vast, domed cities, mostly in the equatorial regions, along with numerous smaller settlements. Settlements are connected by surface roads, a network of near-sonic maglev trains, and air/spaceports from which suborbitals, airships, and near space rockets y on regular schedules. Thanks to the abundance of methane fuel and gravity only one-third of Earth’s, transhumans on Mars finally got their flying cars as well, and all settlements have welldelineated rights-of-way for these vehicles. Meanwhile, in the wild uplands, planetologists and terraforming engineers dwell in small villages, living the simple life in ruster morphs while seeing to the continued development of the Martian climate and atmosphere.

As a partially terraformed planet with vast tracts of unused land, Mars is one of the few places that can offer new sleeves to infomorph refugees. Martian brokerage houses do a brisk business in the purchase and resale of infugee contract labor, with agreements (for some) leading to eventual sleeving. This has led to a sizable Martian underclass, however, organized as a growing resistance movement under the Barsoomian banner (though the hyperelite socialites disparagingly call them “rednecks”).",,1.5,,EP.91
Nectar,,Luna,Habitat,"Nectar (population 9 million) lies about 100 kilometers due east of Theophilus crater on the Mare Nectaris (Sea of Nectar) in Luna’s southern hemisphere. Nectar is a design powerhouse, home to the great Lunar design houses that set fashion and design trends for much of the solar system. Due to its location relatively close to the Lunar equator, Nectar also hosts Luna’s primary long-haul space port and is on the pickup path for the Lunar skyhook.",9000000,,,EP.92
New Mumbai Containment Zone,Mumbai,Luna,Habitat,"The incineration of the New Mumbai colony with nuclear weapons during the Fall to prevent the spread of TITAN infection left a scorch mark roughly 100 kilometers in diameter on the face of Luna that is still visible from high orbit. The colony was a heavily automated helium-3 mining station, located in the midst of rich helium-3 fields on the edge of the Mare Moscoviens. It remains a heavily patrolled quarantine zone to this day.",,,,EP.93
Akosha,,Mars,Habitat,"Ashoka is located in a crater in the Ares Vallis region about 3,000 kilometers northeast of Valles-New Shanghai, not far from the landing sites of the early Viking and Path nder probes. The town is a popular spa and spiritual retreat for Martians wanting to revisit their pioneer roots. It is also an active terra- forming station and a major point of contact between the semi-nomadic Barsoomian culture of the high desert and the settled Martians of the equatorial canyonlands. 10,000 scientists, historians, terraforming workers, and spiritual gurus live in the town and surrounding area. A major attraction is a museum housing the Pathfinder lander and the Sojourner rover (which was still operational when humans landed and discovered it circling endlessly in a crater). The Viking lander is in another museum a short monorail ride from town. In a move that infuriated historical purists, all three machines were given modern hardware upgrades when discovered and now house AIs who act as historians of early Mars exploration. Sojourner is particularly friendly and sometimes leads lucky groups on walking tours of early landing sites.",,,,EP.94
Ma’adim Vallis,,Mars,Region,"This deep canyon system on Mars holds one of the Planetary Consortium’s most treasured possessions: the Martian Gate. This Pandora gate was originally discovered by nomadic Barsoomians, then violently wrested from their hands by hypercorp troops—an event that still rankles the rednecks. As different hypercorps themselves nearly came to blows, the Hypercorp Council was forced to step in and offer a resolution that all could agree to. A new hypercorp was founded—Pathfinder—which would control exploration and exploitation of the gate and resources beyond, with special privileges and rights given to Planetary Consortium members. The Martian Gate is now a staging point for numerous exoplanet colonies, though some fear the prospect of keeping a presumed- TITAN artifact operational on transhumanity’s most populous planet.",,,,EP.94
Olympus Mons,,Mars,Region,"Mars’s most notable landmark is the mighty shield volcano Olympus Mons, on which the first—and still principle—Martian space elevator was constructed. Similar in shape and origin to Earth’s Hawaiian Islands, but now dormant, Olympus Mons is one of the highest mountains in the solar system, rising 27 kilometers. Olympus, the settlement in the volcano’s caldera around the base of the space elevator, was once the chief city of Mars, but waned in popularity as a place to live when terraforming made other regions more attractive. A maglev train from Olympus takes a little over three hours to reach Noctis; air travel is even quicker. Despite the waning of the city, the space elevator still sees heavy use.",,,,EP.94
Titan Quarantine Zone,TQZ,Mars,Region,"Officially labeled the TITAN Quarantine Zone, the TQZ is a large area stretching from the smooth plains of Amazonis Planitia (between the Tharsis and Elysium volcanic areas) and southeast to Arsia Mons (just west of Noctis). This zone is known to be crawling with leftover TITAN machinery: warbots, nanoswarms, and other dangerous things. Several devastated habitats lie in this region, including the former Islamic stronghold of Qurain. Few dare venture here, though some rumors suggest that Barsoomian smugglers make use of the Arsia Mons caves and even scavenge for TITAN tech, despite the risks. Planetary Consortium drones keep a vigilant eye on the Zone’s borders, though for unknown reasons the TITAN relics rarely stray beyond its bounds.",,,,EP.94
Valles Marineris,,Mars,Region,"Most of transhumanity’s terraforming efforts center around the winding Valles Marineris canyonlands, which twist and turn over 4,000 kilometers east-to-west along the Martian equator. In these relatively warm bottomlands, liquid water is becoming abundant and the land is green with hardy plant species like crab grass, dandelions, and towering Douglas firs (which botanists estimate may reach heights of 180 meters in the low Martian gravity). 75% of the transhuman population of Mars lives in this region, giving it the highest density of transhuman habitation in the solar system.",,,,EP.94
Elysium,,Mars,Habitat,"Located in the Elysium and Hyblaeus Chasma in the north of the Hesperia region in Mars’s eastern hemisphere, Elysium is the entertainment capital of the system and the largest Martian city outside of the canyonlands of the equator. It is also the most physically remote of the large Martian cities, though transhumanity’s advanced transportation technology (suborbital flights and rocket flight from habitats above) make this remoteness a trivial quality.

Elysium and Hyblaeus Chasma together make up a 250-kilometer long canyon system in the shadow of Elysium Mons, a 14-kilometer mountain located about 200 kilometers northeast of the city. In between is the Zephyrus Fossae, an undulating, windswept lava plain. The city was the vision of one person, Zevi Oaxaca-Maartens, an eccentric entertainment magnate who was intrigued by the close proximity of the eminently terraformable Chasma to the unspoiled Hesperian terrain.

The city is only 30 years old but already boasts a population of 9 million transhumans. Elysium is mostly built into the canyon walls of the Chasma, sprawling over a 75-kilometer stretch, all of which has been domed over. Unlike the big domed metroplexes of the south, Elysium takes advantage of the canyon walls, which are close enough together that rather than building free standing domes, the builders have simply built great enclosing arches to completely cover the canyon. These expand northward year by year as the city grows. From low orbit, it looks like a great, glistening serpent.

The Martian city of Elysium is the spiritual successor to old Earth’s Los Angeles as the entertainment capital of the solar system. Glamorous stars and blood-drinking producers coupled with a healthy dose of outrageous (if often vapid) transhuman creativity have made Mars an unrivaled media powerhouse. Elysium may boast more exalt and sylph morphs per capita than any other transhuman city.

Image is everything here, and to visitors it may seem as if everyone in this city is either blindingly beautiful or calculatedly ugly. The most successful performers and entertainment tycoons live lives of glittering privilege that would make the richest gerontocrat in New Shanghai mildly envious. Everyone else, from up-and-coming game producers to virtual ero performers, has to hustle constantly.",9000000,,,EP.95
Noctis-Qianjiao,Noctis,Mars,Habitat,"With a population of 13 million, Noctis-Qianjiao is the major metroplex in the west of the Valles Marineris region, an area known as Noctis Labyrinthus. Although not as hospitable as the Eos region in which Valles-New Shanghai lies, Noctis Labyrinthus is considered prime real estate for its gorgeous scenery and well-developed river systems. The metroplex boasts two major domes: Qianjiao, on the northern bank of the River Noctis, and Noctis City (normally just called “Noctis”) to the south. Connecting the two domes and spanning the river is a sprawling network of lesser domes and souks, although these have been pushed north and south over the years as the planet warms and the river grows wider.

Noctis-Qianjiao is the center of the Martian design and fashion industries, which in the abundant Martian economy arguably makes the city as important as the much-larger Valles-New Shanghai. This settlement’s proximity to the Zone sometimes alarms visitors, but there have been no public incidents to cause concern so far.",13000000,,,EP.95
Olympus,,Mars,Habitat,"Olympus, with a population of 1 million living in a space designed to accommodate 6 million, is something of a ghost town. The former principal city, built in the caldera of Olympus Mons around the space elevator, is now fallen into disuse. As the temperatures rose and the climate improved in the Valles Marineris canyonlands, most of the population left the windswept caldera for more hospitable surroundings. Olympus is not and never was a large domed city, consisting instead of a souk-like network of minor domes and antiquated tin can hab modules.

Low atmospheric pressure and bone-freezing temperatures at the city’s altitude of 27 kilometers mean that most transhumans venturing outside the souks and hab modules still need the equivalent of light vacsuits to survive. Martian Alpiners, a rare morph found in few other places, are not uncommon here due to the harsh conditions.

The city center is well maintained and carefully overseen by the Olympus Infrastructure Authority, a minor hypercorp that operates the space elevator. The outskirts are economically depressed and sometimes dangerous, mostly deserted and populated by squatters, indentured downloads on the run, and other people who really want to be left alone. Occasional outbreaks of dangerously mutated arti cial life are one of the few reasons for which the Authority bothers to intervene in the outskirts. Otherwise, the old tin can habs and their strange inhabitants are left to decay.",1000000,,,EP.95
Progress,,Mars,Habitat,"Progress is one of the largest Cole bubbles in the Solar System. With 8.5 million residents, it is second in population only to Extropia in the belt. Progress was created when Fa Jing evicted all of the former residents from the Martian satellite of Deimos, excavated the inside of the moonlet, and used a massive solar array to convert it into a bubbleworld. From an engineering standpoint, Progress is a wonder. It was the first successful use of new methods to create a Cole habitat after several previous attempts to create bubbleworlds resulted in the asteroid or moonlet breaking apart.

Progress is nonetheless an impressive habitat, home to hypercorp glitterati and an outpost for a host of major political and economic concerns. Its sister moon, Phobos, remains a warren-like tunnel habitat due to the presence of multiple legal interests unable to agree upon the disposal of the satellite.",8500000,,,EP.96
Qing Long,,Mars,Habitat,"Qing Long, with a population of 2 million, is the largest O’Neill habitat in the system. It is situated among the Trojans at the Martian L5 point. Qing Long has its roots in the Chinese effort to colonize Mars. Despite its exceptional size, it is one of the oldest habitats of its type, having been built almost entirely from metal-rich asteroids mined near its present location.

Qing Long is a major underworld haven. The habitat’s administration is beholden to several criminal organizations who normally refrain from killing one another. The habitat nominally obeys some hypercorp principles, such as limited access to cornucopia machines, forking, and AGIs. However, thriving grey and black markets enable people with the right connections to acquire just about anything here.",2000000,,,EP.96
The Asteroid Belt,The Belt,,Region,"Spread out over a massive region between the orbits of Mars and Jupiter, the Main Belt contains a few hundred asteroids greater than 100 kilometers in diameter, over a thousand objects greater than 30 kilometers in size, and countless smaller ones. Despite this, the total mass of asteroids in the belt is only a fraction of one of the inner planets, meaning that asteroids are spread out over great distances. A spacecraft flying through the belt is highly unlikely to encounter an asteroid unless it deliberately navigates toward it.

The rich, easily accessible mineral deposits in the Belt were a major link in transhumanity’s first steps toward the outer system. Automated mining and high-impulse ion boosters enabled outer system colonists to move metal-rich Main Belt asteroids into the orbits of Jupiter, Saturn, and beyond, where metallic asteroids are much scarcer. This activity continues to this day as transhumanity pushes further out into the system. 

Hundreds of small habitats, mostly involved in prospecting activities, dot the belt. Distant from Earth, settlements in the belt were largely spared the devastation of the Fall. Both hypercorp and autonomous outposts flourish here. Derelict habitats abandoned when nearby asteroids were boosted into the outer system or depleted are common here as well, though some of these are now occupied by residents who are best left to their solitude. ",,2,,EP.96
Valles-New Shanghai,,Mars,Habitat,"The principal city of Mars, Valles-New Shanghai is transhumanity’s largest planetary metroplex, with 37 million inhabitants. Valles-New Shanghai lies in the heavily terraformed Eos region in the east of the Valles Marineris canyon system. The metroplex is comprised of five major domes connected by a network of Martian souks. The souks are a unique architectural feature of large Martian cities, consisting of covered thoroughfares and galleries lined with bazaars, eateries, and squats. It is said one can nd anything if one spends enough time walking the souks.

The domes themselves are tamer, with artificial waterways (many of which now connect to the tenuous rivers etching the surface of the Eosian bottomland), grand architecture, residential mini-arcologies, entertainment complexes, and hypercorp conference centers. The most impressive by far is the Bund, the larger and older of two domes making up the city of New Shanghai proper. New Shanghai is roughly bisected by the twisting Ares, an arti cal river that helps regulate the dome’s climate. Near its center is an almost brick-for-brick duplicate of the original Bund from the destroyed Earth city of Shanghai. 
The other four domes are Little Shanghai (a newer, smaller dome adjacent to the Bund), Valles Center (a business and nancial center that rivals the Lunar banks of Erato and Nectar), New Pittsburgh (also called the Burgh, a hub of research and planet-side industry), and Nytrondheim (housing major entertain- ment districts).

Valles-New Shanghai is transhumanity’s wealthiest population center, a hotbed of art and culture, and one of the system’s great centers of hypercorp activity. The populace includes an extremely high percent- age of gerontocrats, but their sti ing in uence on culture, economic mobility, and the legal system is only one force among many in a city of 37 million people. The city has expanded so much to accommodate its exploding population since the Fall that new construction is a constant. Crime and corruption are widespread, though the worst of it is contained to Little Shanghai. Valles is a place where dreams are made and broken every day, if not every hour.",37000000,,,EP.96
Ceres,,The Asteroid Belt,Body,"One of the system’s dwarf planets (along with the likes of Pluto and Eris), Ceres is almost 1,000 kilo- meters in diameter and hosts a population of almost a million. Unlike most Main Belt asteroids, Ceres has an icy crust with a layer of liquid water beneath it, like a miniature version of Jupiter’s moon, Europa. With its abundant water, Ceres has a major role in resupplying other stations in the belt. Similar to Extropia, Ceres operates largely along anarcho-capitalist lines. However, the Hidden Concern, a cartel run entirely by uplifted octopi, holds sway in the sub-crustal sea and maintains a stranglehold, as it were, on water extraction operations. Cerean octopoid morphs are specially adapted to survive in the ammonia-rich waters of the Hidden Sea.",,,,EP.97
Extropia,,The Asteroid Belt,Habitat,"This massive beehive habitat is a major crossroads and anarcho-capitalist/mutualist marketplace. Extropia is a neutral free city whose infrastructure and social fabric is maintained by a loose associa- tion of anarcho-syndicalist af nity groups. Extropia’s neutrality hinges on strategic alliances between key local figures, their networks, and an unusual array of outside interests that include the Lunar banks, technolibertarian factions, and outer system colonies dependent upon raw materials exported from the belt. The hypercorps use Extropia as a tax shelter and a haven from which to do illicit business. There are no laws or government as such; visitors are advised to register with an insurance and security provider. Named after one of the first transhumanist movements, Extropia is considered a utopia for trans- humans looking for body modi cations. AGIs and forking are accepted and allowed here. The transhuman population is nearly ten million.",,,,EP.97
Jupiter,,,Body,"Large enough that it could almost have formed the nucleus of a protostar in its own right, Jupiter’s massive size makes the Jovian system one of the most challenging places in the system to colonize. Jupiter’s powerful magnetic  eld means that its inner moons— and the outer ones, when their orbits pass through its immense magnetotail—are bombarded with enough ionizing radiation to kill transhumans not protected by the heaviest of shielding within a matter of hours. There are sixty-three moons and moonlets in the Jovian system, but only the well-explored, populous, regular moons are described here.

Resources and Economy

Jupiter’s powerful gravity well is a major hindrance to gas mining in the planet’s atmosphere, as even craft that do not succumb to the violent, centuries-long atmospheric storms can only achieve escape velocity with the most powerful propulsion systems. Given the need for heavy shielding on such craft, gas mining on Jupiter is not nearly as efficient as on Saturn. Jupiter has a tenuous ring system, much less dense than Saturn’s, which extends out for 20,000 kilometers around the planet, encompassing the orbits of its two closest moonlets. 

Jupiter’s gravity, however, is also a valuable resource. Craft bound for Saturn and beyond can slingshot themselves outward by circling the planet to pick up velocity, cutting months or years off their trips. The heavily militarized Jovian Republic levies tolls against all spacecraft using Jupiter’s gravity to pick up velocity, including asteroids under propulsion. This protection money is the Junta’s primary source of revenue. Planetary Consortium ships generally accept the payment as part of operating expenses. Other factions are not so cooperative, and the Junta regularly seizes or destroys blockade runners. ",,5.2,,EP.97
Nova York,,The Asteroid Belt,Habitat,"One of the more unusual near-weightless habitats is Nova York, the main city on Metis, a large nickel-iron and silicate asteroid located in the main belt. Nova York, the third largest habitat in the main belt, is a thriving metropolis of 500,000, with the main portion of the city located in a spherical cavern approximately four kilometers in diameter, the top of which is two hundred meters beneath the asteroid’s surface. Lit during the day by a series of huge light tubes in the outer walls, at night the lights of the buildings cause the surface of this sphere to resemble an enormous geode. The habitat’s basic design consists of many thousands of exceptionally tall and fragile-looking buildings that extend between one hundred and fifteen hundred meters above the surface, as well as a few buildings that stretch from one side of the cavern to the other. In Metis’s minute gravity of 1/140th of a g, up and down have little meaning, and even relatively fragile buildings are in no danger of falling down. The vast majority of the buildings, including ones more than one kilometer tall, are made from thin plastic panels over a durable supporting framework. These buildings jut out at all angles from the sphere.

Many inhabitants of Nova York move from one building to another by jumping, and a single leap can carry someone many hundreds of meters. Residents do not worry about falling—the combination of air resistance and exceedingly low gravity means that even someone falling from the top of the cavern to the bottom is in no danger of injury. In this environment, the only real meaning of up and down is that down is where you look for objects to come to rest (as long as an air current does not pick them up and blow them around).",500000,,,EP.97
Amalthea,,Jupiter,Habitat,"The largest of the moonlets, hollow Amalthea is probably the most livable sarcophagus habitat due to the large lake created from its icy core. Living on Solano carries some prestige among Junta citizens. Rumor has it that most of the residents are well-placed RAND think tank personnel, most of whom work on defense projects. A fusion-powered axial light tube illuminates the 30-kilometer diameter central cavern, whose landscape is patterned after the subdivisions and of ce parks of an early 21st-century suburb. All buildings have envirosealing so that the occasional bouts of envi- ronmental sepsis resulting from the poorly regulated interior ecosystem can be purged with toxin bombs. Less-fortunate support personnel dwell in the beehive warrens crisscrossing the moonlet’s crust between cavern and surface. Like most of Jupiter’s moonlets, Amalthea’s space crawls with patrol craft and killsats, making approach for unauthorized ships problematic at best. 1.5 million transhumans live on Solano.",,,,EP.98
Europa,,Jupiter,Body,"Europa has no atmosphere and lies within the fear- some magnetosphere of Jupiter. Its surface is bombarded with enough radiation for an unshielded transhuman to receive an irrevocably fatal dosage within a few days—much faster when Europa’s orbit passes through Jupiter’s immense magnetotail. As a result, transhumans on Europa dwell beneath the icy crust, largely in the ocean below, adopting a variety of aquatic and amphibious morphs for survival. The only surface facilities are the heavily shielded ice elevator heads at Conamara Chaos and several other points through which reactor mass and other crucial supplies can be delivered to the Europans below.

Transhumanity is still exploring and imaging the Europan ocean floor, a task complicated by the hideous pressures at work in these waters, which are ten times as deep as the Earth’s oceans. A further surprise awaiting transhumanity was the terrain. The geology of Europa suggested that beneath the ice would be fathomless depths of black water ending at a depth of nearly 500 kilometers in a relatively at, featureless sea bed. Were Europa a lifeless ball of ice and rock, this would be the case, but over the estimated billion years since the rise of life on Europa, tiny lithoderms (analogs to Earth’s coral) have built silicate reefs that rise to within a few hundred meters of the ice crust. It is on these biologically formed mountain tops, home to complex ecosystems, that the Europans have built their habitats.

While based on water-carbon chemistry like life of Earth origin, life on Europa is completely autocthonic, having originated beneath an impenetrable ice sheet that cut off Europa’s subsurface ocean completely from outside. This is in marked contrast to Earth life, which some biologists have theorized might be the result of galactic panspermia, the slow diffusion of microbes through the vacuum of space aboard comets or asteroids. As such, the fauna of Europa are of great interest to transhuman bioscience.

Biosciences

Europa’s life forms, unique perhaps in the universe, are its greatest treasure, and transhumanity’s efforts to catalog them are only beginning. The rush to exploit Europan biodivesity puts the Jovian Junta in an uncomfortable situation. While they control space traffic and commerce in the Jovian system, they lack the native talent to take real advantage of knowledge gleaned from Europa. At rst, they engaged in ham- sted excise operations aimed at squeezing revenue out of knowledge exports. But once farcasters and egocasters came online below the ice, this type of extortion no longer worked. Now the Jovians have shifted to a two-pronged strategy of levying tariffs on new equipment and people brought down the ice elevators by hypercorps and research collectives, and of holding the entire population of the moon hostage by refusing delivery of key resources like reactor mass and rare elements if protection fees are not paid. 

Habitats

Europan habitats take two forms: fortified fishing and farming havens clinging to the spires of the lithodermic reefs and spherical bubble warrens constructed by boring into the lower reaches of the ice crust and shoring up the hollows created. The latter are the only air-filled spaces beneath the ice. The largest warren is Conamara, at the base of the Conamara Chaos ice elevator. Conamara is surrounded by five nearby reef havens, also considered part of the habitat. The total population is 1.5 million.",1500000,,,EP.99
Ganymede and Callisto,,Jupiter,Body,"Larger in size than Luna, but darkly colored and not as heavily cratered, Ganymede and Callisto are very similar worlds. Neither is as dense (nor has as much gravity), as their mantles consist of more ice than iron rock. Both possess abundant volatiles and water (albeit frozen), making them ideal candidates for habitation. Ganymede, with its differentiated surface of rocky and icy terrain, has an iron core and thus a faint magnetic eld. Callisto, the smaller of the two, is composed mostly of icy silicate clays. As on Luna, most cities on Ganymede and Callisto are built below ground to shield them from meteor impacts (and, on Ganymede, from Jupiter’s radioactive bombardment).

While within the “protection” of the Jovian Republic, both moons are a patchwork of city-states. Some are full members of the Jovian polity, while others are only tolerated. Ganymede tends to swing more heavily toward the Junta, as its citizens still see the Junta-maintained infrastructure—accurately or not—as necessary in such a hostile environment. Callisto, outside the worst radioactive effects of the Jovian magnetosphere, is an easier place for techno-progressivism to gain a foothold.",,,,EP.99
Io,,Jupiter,Body,"Beneath Io’s tenuous, patchy atmosphere of volcanic gases and neutral atomic dust lies a barren, grayish yellow, rocky surface coated with a thin frost of sulfur dioxide. Tidal heating caused by gravitational interaction with Jupiter makes Io the most volcanically active body in the system—so active that the meteor cratering found on every other planet and moon is completely absent on Io. Massive volcanic calderas, lakes of molten rock, and geysers of sulfur dot the surface, with eruptions and accompanying seismic activity lasting months or years. Volcanic zones on Io reach surface temperatures of up to 1,500 Kelvin, hotter than any body in the system.

For all that, transhumanity’s worst peril on Io is radiation. Ejecta from geysers and volcanoes ow with Jupiter’s magnetic eld to form a titanic, toroidal ux tube that rotates with Io around the gas giant. Travelers to Io must either use the heaviest radiation shielding available or resleeve into synthetic morphs.

Transhuman activity on Io centers around scientific research and harvesting the volatiles ejected by Io’s geysers, particularly sulfur. Bases tend to be modular and mobile due to the ever-changing seismic activity. The Junta’s most notorious prison, Maui Patera Rehabilitation Center, is dug into a (mostly) extinct caldera wall north of the equator.",,,,EP.99
The Kuiper Belt,Kuiper belt,,Region,"Lying just past the orbit of Neptune is a disc of ice and dust known as the Kuiper Belt. It is home to over a hundred planetoids, including Pluto, Haumea, and Eris, and thousands of asteroids large enough to conceal a habitat. Most Kuiper Belt objects (KBOs) are a mix of ice and rock which pre-date the genesis of the sun. Though sparsely populated, most transhuman activity takes place in the “classical” Kuiper Belt, between 42 and 48 AU, where frozen volatiles, complex organic molecules, and rare minerals are more easily harvested.

Habitats here are sporadic and politically disparate. They are often carved from the inside of larger asteroids and use thick layers of ice for structural support and shielding from radiation and impacts. Vast distances between them necessitate complete self-sufficiency. The further a habitat is from the sun, the more dependent it becomes on mining to provide for fusion and chemical power generation. Heavy metals are scarce, limiting industry, conventional construction, and the adoption of new tech.

Duplex and high-density transmissions are limited by their range. A lack of effective communication has prevented political and cultural uni cation and created a wide variety of reclusive niches. Exhumans, criminals, anarchists, ultimates, out’sters, and brinkers have all found the isolation of the belt ideal to their pursuits. Piracy has grown in some corners, due to reliance on automated craft between poorly defended habitats. Social order is tempered with paranoia, and enforced through the barrel of a gun. Failed and abandoned habitats are relatively common, set adrift and left to rust among the frozen bodies of the belt.",,30,,RW.139
