name,shortname,type,description,cost,minimum,blueprints,source,mobility,effect,Skills,stats,conditional,armor,replaces,weapon,movement,morphs
Oxygen Reserve,,Physical Augmentation,"The morph has a miniature oxygen tank and rebreather installed in its torso. This implant provides the equivalent of the life support system in a light vacsuit, allowing the character to breathe comfortably for up to 3 hours. It feeds oxygen directly to the morph's blood stream, avoiding problems with pressure changes. Implanted sensors automatically cause the character to use the stored oxygen if they detect poisonous or insufficient atmosphere. Without vacuum sealing, the character can only survive in vacuum for 5 minutes, but remains conscious and active for the entire time, giving them far more time to find shelter or a vacsuit than characters without this implant. For every hour the character is in a breathable atmosphere, this implant recovers one hour of oxygen storage. The implant can be fully recharged within 15 minutes if the character is in a high-pressure mostly oxygen atmosphere.",Low,,TRUE,EP.308,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Poison Gland,,Physical Augmentation,"Similar to the drug gland, this morph has special glands that produce poisons, like the venom glands of a snake. The morph has poison glands in its fingers and mouth, so that it can deliver either poison by scratching someone with a fingernail, biting them hard enough to draw blood, or even by sharing a beverage with someone or spitting into their drink. The morph is immune to the poisons it produces. These glands may not produce nanotoxins.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Prehensile Feet,,Physical Augmentation,"The morph's feet and leg joints are altered so that its toes are longer and more dexterous and the big toe is transformed into an opposable thumb. Physically, the morph's feet resemble a longer narrower hand or a human foot with finger (and thumb)-like toes. The character can walk normally but must wear specially designed shoes. However, this morph runs somewhat slower than a morph with unmodified feet (-1 meter per Action Turn). In addition, the morph's hips are slightly modified to allow greater mobility. In a properly constructed chair, or when floating in zero-G, the character can use both their hands and their feet to manipulate the same object. Most morphs used by characters who live in zero-G possess this augmentation.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Prehensile Tail,,Physical Augmentation,"A long (1.5 meters) prehensile tail is added to the morph's backside, extending out from the tailbone. This tail is prehensile and may be used to grab, hold, and even manipulate objects. The character can control the tail's movements with concentration, but it otherwise tends to move on its own. The tail also improves the character's balance; apply a +10 to any Physical skill tests where balance is a factor.",Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Reflex Booster,,Physical Augmentation,"The morph's spinal column and nervous system is rewired with superconducting materials, boosting transmission speed. This raises the character's REF by +10 and improves Speed by +1.",Moderate,,TRUE,EP.308,,,,"REF:10, SPD:1",FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Sex Switch,,Physical Augmentation,"A complex suite of alterations allows the character to switch their physical sex to male, female, hermaphrodite, or neuter. This change is mentally triggered but takes approximately 1 week to complete.",Moderate,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Skin Pocket,,Physical Augmentation,"The morph has a pocket within its skin layer, capable of holding and providing concealment (+30) for small items.",Trivial,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Skinflex,,Physical Augmentation,This disguise implant allows the user to restructure their facial features and musculature and alter skin tone and hair color. The entire process takes a mere 20 minutes. Skinflex adds +30 to Disguise Tests.,Moderate,,TRUE,EP.309,,,Disguise 30,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Temperature Tolerance,,Physical Augmentation,The morph's temperature regulation and circulation are both substantially enhanced allowing the character to survive in temperatures as low as -30 degrees Celsius and as high as 60 degrees Celsius without discomfort or ill effects.,Low,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Temperature Tolerance (Cold),,Physical Augmentation,"The morph is treated as having the Temperature Tolerance biomod (p. 305, EP), but with an even greater resistance to low temperatures. The morph can tolerate temperatures as low as -80 C without ill effects.",Moderate,,TRUE,SW.166,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Temperature Tolerance (Cryonic),,Physical Augmentation,"The morph is treated as having the Temperature Tolerance bioware (p. 305, EP), but the addition of both an integral nuclear battery and specially bioformed insulation allows this morph to indefinitely tolerate temperatures as low as -200 C without harm as long as the morph is in an atmosphere with a pressure of less than 0.1 atmosphere. In a dense atmosphere, like that of Titan, the morph can endure temperatures as low as -120 C.",High,,TRUE,RW.189,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Toxin Filters,,Physical Augmentation,"The morph gains an improved liver and kidneys and biological filters in its lungs. Characters with this augmentation are immune to all chemical and biological toxins, including everything from recreational chemicals to nerve agents to spoiled food. In addition, the character can safely and comfortably breathe smoke and drink salt water. Unlike medichines, toxin immunity prevents the character from experiencing even brief harm or discomfort from a toxin (medichines merely rapidly repair damage caused by the toxin and then remove it from the morph). This augmentation provides no resistance to concentrated acid, nanotechnological attacks, or similar destructive agents. Some characters with this augmentation learn to enjoy the taste of various chemical toxins like cyanide or arsenic.",Moderate,,TRUE,EP.305,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Vacuum Sealing,,Physical Augmentation,"To possess this augmentation, the character must also possess some form of bioware armor or carapace armor. The morph has been specially designed to survive the effects of vacuum. The character's skin resists vacuum as well as protecting the wearer from temperatures from -75 to 100 C. In addition, the character's mouth, nose, and other orifices can seal suf ciently well to resist vacuum, and the morph possesses a special membrane that extends over their eyes, allowing the character to see in vacuum without risking any eye damage. This augmentation is usually combined with either the enhanced respiration or oxygen storage augmentation, or both together.",High,,TRUE,EP.306,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Wings,,Physical Augmentation,"Wings enable the morph to fly at Earth/Venusian grav-ities if small (child-sized) and light, or at low gravities if human-sized or larger. Tests made while flying use the Flight skill. Most wing designs are transgenic and based on bat-wing physiology, so they may be easily folded when not in use. Though the Movement Rate depends on the morph in question and the particular design, a standard Movement Rate is 8/40.Neo-avians have wings by default, as part of their physiology.",Moderate,,TRUE,SW.166,Winged,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Winterist,,Physical Augmentation,"The character has the androgynous appearance and non-sexual erogenous zones common to inhabitants of Winter hab (p. 64). The character has a monthly hormonal cycle driving their desire for erogenous contact. The character also produces fertile gametes once a month in accordance with this cycle, but these must be harvested through a medical procedure and placed in a Winterist exowomb in order to be fertilized. This augmentation can be added to any biomorph but may not be taken in combination with the sex switch augmentation or any other augmentation directly linked to the character's sex. Characters with this augmentation are immune to the effects of tailored pheromones.",Low,,TRUE,RW.189,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Advanced Internal Articulation,,Personal Augmentation,The design and arrangement of the flexbot's rigid superstructure is bleeding edge. The timeframe for shape changing is reduced by half. It also suffers no SOM penalties for hyper-extending its limbs. This modification must be added when the morph is first acquired.,High,,TRUE,TH.210,,,,,FALSE,,TRUE,,,Synthmorph
Body Mass Converter,,Personal Augmentation,The flexbot is able to convert small bits of its own body mass into ammunition or fabricator feedstock if needed. The bot may convert 1 DUR into 10 rounds of kinetic or spray weapon ammunition or 1 kilogram of inorganic feedstock.,High,,TRUE,TH.210,,,,,FALSE,,TRUE,,,Synthmorph
Brain Box,,Personal Augmentation,"Just as some people in the outer system prefer biomorphs with cyberbrains because of the speed and ease of both forking and resleeving, others prefer the durability and utility of synthmorphs, but do not wish to give up having an organic brain. Some have aesthetic objections, while others worry about a cyberbrain's vulnerability to hacking. Though they are unlikely to discuss this fact in public, asyncs need biological brains to remain sane. Any pod and any synthmorph that does not use either modular design or swarm composition can house a brain box. Choosing this modification removes the following enhancements from the morph: cyberbrain, mnemonic augmentation, and puppet sock. The CP and credit cost of the morph remains unchanged. Users can add mnemonic augmentation and puppet sock augmentations back in, but must purchase them normally. A brain box consists of a living human brain and a sturdy, well-padded, miniature life-support system for this brain. Brain boxes require the addition of a small amount of concentrated nutrients once every month. To avoid the necessity of these nutrients, users can also install a smaller, cheaper, and more limited version of the long-term life support augmentation (p. 189, Rimward) that is designed specifically for use with a brain box. This augmentation has a cost of High and recycles the necessary nutrients as long as the morph has sufficient electricity and can gain access to small amounts of water and carbon twice a year. Brain boxes are normally hidden from standard visual detection, but a few eccentrics show them off with a transparent aluminum casing, allowing observers to see that their morph contains a biological brain. The brains with brain boxes must be specifically customized to the morph (a process requiring 3 days and a healing vat). The morph's aptitude modifiers do not change.",Moderate,,TRUE,TH.198,,,,,FALSE,,TRUE,,,"Synthmorph,Pod"
Brain Box Life Support,,Personal Augmentation,"To avoid the necessity of these nutrients, users can also install a smaller, cheaper, and more limited version of the long-term life support augmentation (p. 189, RW) that is designed specifically for use with a brain box. This augmentation recycles the necessary nutrients as long as the morph has sufficient electricity and can gain access to small amounts of water and carbon twice a year.",High,,TRUE,TH.198,,,,,FALSE,,TRUE,,,"Synthmorph,Pod"
Cryonic Protection,,Personal Augmentation,"Even synthmorphs can have difficulty with the cryonic temperatures found in the outer system. While almost any synthmorph can operate normally for at least an hour at these temperatures, longer exposure can cause materials to get brittle and joints to lock up, especially in an atmosphere thick enough to conduct heat away from the morph. This augmentation uses the morph's nuclear battery to slightly warm its surface, while also coating the morph with a thin layer of insulation. Cryonic protection allows synthmorphs to operate indefinitely in the coldest temperatures found in the solar system.",Low,,TRUE,RW.186,,,,,FALSE,,TRUE,,,Synthmorph
Cyberbrain,,Personal Augmentation,"Cybernetic brains are where the ego (or controlling AI) resides in synthmorphs and pods. Modeled on biological brains, cyberbrains have a holistic architecture and serve as the command node and central processing point for sensory input and decision-making. Only one ego or AI may ""inhabit"" a cyberbrain at a time; to accommodate extras, mesh inserts or a ghost-rider module must be used. Since cyberbrains store memories digitally, they have the equivalent of mnemonic augmentation. They also have a built-in puppet sock so that they may be remote-controlled, though this option may be removed by those who value their security. Cyberbrains are vulnerable to brainhacking and other forms of electronic infiltration/attack. Cyberbrains come equipped with two or more pairs of external access jacks, usually located at the base of the skull, which allow for direct wired connections.",Moderate,,TRUE,EP.300,,,,,FALSE,,TRUE,,,"Synthmorph,Pod"
Cybercortex,,Personal Augmentation,"Similar but less sophisticated than a cyberbrain, a cybercortex is a limited artificial version of the neo-cortex for smart animals. A cybercortex is not sufficient to raise an animal to sapience, but it does boost the animal's ability to learn, comprehend instructions/commands, and reason. Apply a +10 modifier to Animal Handling Tests with this animal. The cyber-cortex also overrides many instinctive behaviors that would be undesirable in a service animal.",Low,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Direction Sense,,Personal Augmentation,"The character has an innate sense of direction and distance using advanced inertial navigation. The character can arbitrarily define any point as ""north"" and keep track of which direction that is, as well as knowing approximately how far they have come. Characters with this augmentation can always retrace any route they have taken, only experiencing difficulty with three-dimensional routes lacking navigational markers (such as deep space or undersea; apply a -30 modifier). Since positioning inside habitats by anyone with basic mesh inserts is an automatic affair, only characters venturing to remote locations require this augmentation.",Low,,TRUE,EP.301,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Ego Sharing,,Personal Augmentation,"This enhancement allows more than one ego to access the internal systems and controlling functions of a single synthmorph, bot, or vehicle at one time. Each ego requires its own cyberbrain. Command responsibilities are usually divided into appropriate sectors of control. For example, one ego is responsible for physical movement, another handles data analysis, a third operates weapon controls, and so on. Each ego acts on its own Initiative; the morph may only move on one ego's action and each weapon system and enhancement may only be actively used by one ego per Combat Turn, though other egos may passively access data from enhancements and systems used by others. Morph aptitude modifiers and bonuses from enhancements apply to all egos equally. No Speed-boosting enhancements may be used with this morph.",Expensive,,FALSE,RW.186,,,,,FALSE,,TRUE,,,Synthmorph
Extreme Heat Shielding,,Personal Augmentation,"This enhancement bolsters the synthmorph's tolerance to extremely high temperatures with heat-resistant materials, heat sinks, and bulky coolant systems. This modification increases the morph's Durability by 25% (not included) while reducing its Movement Rate by half (not included) and modifying COO by -10 (included). Morphs with his augmentation can withstand temperatures up to 500 C.",Expensive,,FALSE,SW.166,,,,COO:-10,FALSE,,TRUE,,,Synthmorph
Extreme Pressure Adaptation,,Personal Augmentation,"Morphs with this mod undergo serious structural reinforcement, enabling them to withstand pressure of up to 100 atmospheres. This modification increases the morph's Durability by 50% (not included) while reducing its Movement Rate by half (not included)and modifying COO by -10 (included).",Expensive,,FALSE,SW.167,,,,COO:-10,FALSE,,TRUE,,,Synthmorph
Failsafe,,Personal Augmentation,"This augmentation must be used in combination with the nanophages nanoware (p. 309, EP) and cortical stack (p. 300, EP). This implant is specifically designed for users who regularly risk exsurgent infection and do not want to be a danger to others. If a strain of the exsurgent virus manages to overcome the nanophages, the failsafe goes into action. As soon as the nanophage defenses reach a point where they are certain to be overwhelmed, the failsafe discon-nects the user's cortical stack and isolates it, keeping it free from any exsurgent infection. It then physically ejects the cortical stack from the user's body for easy retrieval (ejected stacks typically fall 1d10 / 2 meters away). The failsafe also immediately triggers a swift and potent neurotoxin, killing the user's body and destroying their brain. The synthmorph equivalent shuts down the body and securely erases the cyberbrain. In either case, the result is a swift and painless death. If the user has the emergency farcaster augmentation installed in this morph, the failsafe triggers it instead of ejecting the stack and activating the neurotoxin/cyberbrain erasure.",Low,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Fat Storage,,Personal Augmentation,"This augmentation is based on traits displayed by camels to store and use fatty tissue as efficiently as possible. The character's fat tissue stores water far more efficiently than normal, which allows the character to survive three times as long as normal without food or water. The effects of this implant stack with efficient digestion, but are not compatible with the personal power plant implant. The character's fat tissue can be moved around the character's body to a certain degree, which can help the character survive extreme temperatures. In high temperatures, the fat can be concentrated as back humps to minimize the insulation that fat provides, while in extremely cold environments, the fat can be spread around to maximize insulation. This extends the character's maximum temperature tolerance by +10%, which stacks with the effect of temperature tolerance augmentations.",High,,TRUE,TH.197,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Gait masking,,Personal Augmentation,"Gait masking nanosystems alter the bone density, muscle tone, and shape of the user's feet and legs in minute but effective ways, altering their gait pattern just enough to avoid detection. The process of reconfiguration takes 20 minutes. Gait masking is illegal in many habitats. Gait masking can also be used to mimic an existing gait profile; apply a +30 modifier on Disguise Tests to fool gait biometric scanners.",Expensive,,FALSE,PO.149,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Gliding Membrane,,Personal Augmentation,"Gliding membranes are thin, muscular sheets that stretch from wrist to ankle, that allow the character to glide through the air. For human-sized morphs in standard Earth or Venusian gravity (1 g), these gliding membranes allow the glider to maintain a glide ratio of 10:1, so it can glide 10 meters for every meter of altitude it loses. In low-gravity environments, this ratio doubles to 20:1 or more. Gliding membranes provide a +10 modifier to Freefall Tests made to cross long distances. Gliding membranes can also be used to ride thermal updrafts, allowing the morph to ascend to higher altitudes. Use the Flight skill to make tests when using gliding membranes. Gliding membranes can be wrapped around the morph's arms, legs, and torso when not being used, allowing the morph to move and wear clothes normally when not gliding.",Low,,TRUE,SW.166,Winged,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Healing Vat,,Personal Augmentation,"Healing vats were the first type of nanotech medicine developed and remain the most powerful medical devices in common use. With the exception of a few exceptionally deadly nanoplagues, a healing vat can cure any disease and heal any injury. As long as the patient is alive when they are place in the healing vat, they will not only survive, but emerge without a scratch. A healing vat can even take a severed head (as long as it has been stabilized by medichines or nanotech first aid) and regrow an entire body based on the head's genetics. If the patient's body or medical records contain information about their implants, bioware, or advanced nanotechnology, all of these modifications are also fully restored. Few people suffer injuries serious enough to require a healing vat. Most are used as a safe and easy way to perform bodysculpting or to install implants or bioware. Healing vats use specialized nanomachines to either alter the patient's body or integrate implants or bioware. One advantage of using a healing vat is that no additional healing time is needed, the patient leaves the vat fully recovered from the augmentation and ready to go. Every hospital, clinic, bodyshop, and augmentation parlor has several healing vats. The time required by a healing vat varies with the severity of the damage it is healing or the extent of the modification being made, as noted on the Healing Vat table.",High,,TRUE,EP.326,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
High Gravity Adaptation,,Personal Augmentation,"This augmentation is specifically designed to allow a morph to operate in environments where gravity is significantly greater than Earth's. The morph's heart and circulatory system are strengthened and its skeleton altered in composition and proportion to be harder, slightly thicker, and considerably more durable. The morph's muscle density is also increased and tendons and ligaments bolstered for improved efficiency in higher gravity. Apply a +5 Durability and +5 SOM bonus. In addition, the character suffers no negative modifiers from gravities up to 2 g, and reduces all penalties for higher gravities by 1 g.",Moderate,,TRUE,GC.154,,,,"SOM:5, DUR:5",FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Holographic Projector,,Personal Augmentation,"The morph has embedded and concealable projectors capable of projecting high-definition, ultrarealistic three-dimensional images and movies. From a distance (20+ meters), such holograms can be difficult to distinguish as fake, but up close they are easier to see for what they are (+20 Perception Test modifier). Holograms do not appear in wavelengths other than visual light, and so are easily identified by anyone with enhanced vision.",Low,,TRUE,TH.198,,,,,FALSE,,TRUE,,,Synthmorph
Hydrostatic Pressure Adaptation,,Personal Augmentation,"The morph is capable of operating under extreme pressure conditions. Biomorphs (including pods) with this mod can withstand up to 500 atmospheres; the synthmorph equivalent can handle up to 2,500 atmospheres. The morph can also acclimate to changing pressures more quickly and is immune to oxygen toxicity, nitrogen narcosis, and the bends.",Expensive,,FALSE,RW.188,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Implant Masking,,Personal Augmentation,"Implant masking is not a separate implant, but a modification to an existing one. Masked cybernetic implants are composed of electromagnetic- and acoustic-absorbent smart materials that are less likely to be detected by surveillance and security systems using radar, x-rays, or ultrasound. Apply a -30 modifier to any attempts to detect the implant. (Increase the masked implant's cost by one category)",Moderate,,TRUE,,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Industrial Armor,,Personal Augmentation,"The shell is equipped with protection against collisions, extreme weather, industrial accidents, and similar wear-and-tear. Increase the bot's built-in Armor rating to 10/10.",Moderate,,TRUE,,,,,,FALSE,10/10,FALSE,,,Synthmorph
Injectors,,Personal Augmentation,Can attack targets for 1DV and use tiny needles inject a small payload of a given drug into the target. A standard sized swarm can hold 5 doses at a time. [One Category Higher Than Drug],Variable,,FALSE,TH.213,,,,,FALSE,,TRUE,,,Synthmorph
Internal Rocket System,Internal Rocket,Personal Augmentation,The swarm gains flight at a rate of 4/40 and has a continuous flight time of 20 before needing refueling.,Expensive,,FALSE,TH.213,Internal Rocket,,,,FALSE,,TRUE,,,Synthmorph
Invisibility,,Personal Augmentation,"This enhancement works much like the invisibility cloak. The shell is completely sealed within a layer of metamaterials with a negative refrac-tive index, making it invisible to the microwave and ultraviolet wavelengths and everything in between. This modification can only be applied to shells on which the entire outer surface can be coated (ionic, roller, snake, thrust vector, walker, wheeled, winged). At the gamemaster's discretion, this enhancement may not be applied to certain shells due to their configuration. Shells with this enhancement are effectively blinded, as they cannot use visual sensors (though they can view via meshed remote sensors), though they can also create temporary ""windows"" as with invisibility cloaks. This mod is not compatible with the radar absorbent, reduced signature, or radar invisibility mods.",Expensive,,FALSE,PO.149,,,,,FALSE,,TRUE,,,Synthmorph
Jaws,,Personal Augmentation,Can attack a target in a swarm for 1d10+1 DV. Jaws can also be used to cut wires and other forms of sabotage.,Moderate,,TRUE,TH.214,,,,,FALSE,,TRUE,,,Synthmorph
Laser Link,,Personal Augmentation,"This swarm communicates by laser link. Rage 50m in atmosphere, 200m in vacuum. +30 to detect swarm when using enhanced vision.",Moderate,,TRUE,TH.214,,,,,FALSE,,TRUE,,,Synthmorph
Lateral Line,,Personal Augmentation,"A transgenic organ developed from aquatic creatures, a lateral line hears low-frequency sounds and can detect movement and vibrations through nearby liquids. Suryas use lateral lines to ""hear"" in the corona's plasma atmosphere.",Low,,TRUE,SW.166,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Life Recorder,,Personal Augmentation,"Not everyone wants to broadcast their lifelog, whether for public viewing or for private storage elsewhere on the mesh. Some people want to retain a lifelog, but prefer to avoid possible interception of the contents online. Certain security, spy, political, and diplomatic professions may mandate this. Others may commonly find themselves in situations where they are cut off from regular mesh access (such as gatecrashers or remote asteroid herders). Most people also don't want to be bothered with carrying a storage device on their person at all time. In these cases, a life recorder serves the purpose. The life recorder is a micro-sized memory diamond storage device, typically implanted in the head (though occasionally elsewhere in the body). This implant records all sensory input as experienced by the brain to which it is linked. Life recorders are designed as one-way information receivers, simply storing data until they are removed; they are not meant to be accessed, much like cortical stacks.",Low,,TRUE,PO.149,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Long Term Life Support,,Personal Augmentation,"The biomorph is adapted for harsh environmental conditions and can survive for long periods of time as a closed system thanks to symbiotic bacteria and nanomachines. This augmentation allows any biomorph or pod to recycle air, food, and water for up to one year. This augmentation's implanted miniature maker allows the morph to process ice and various simple organic chemicals into air, water, and food. The morph need not eat or breathe but must ingest about five kilograms of ice and carbon grit per day. It must also balance out or replenish chemical reserves once a month, either by exchanging with other similarly augmented morphs or applying a Low-cost chemical reserve pack.",Expensive,,FALSE,RW.189,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Low Pressure Tolerance,,Personal Augmentation,"The morph can tolerate extremely low atmospheric pres-sures, such as those found at high altitudes on Mars, with no ill effects. Morphs with this mod are also somewhat more resistant to vacuum exposure and are able to spend up to five minutes in hard vacuum without incurring damage. However, morphs without respirocytes or an oxygen reserve still suffer asphyxiation.",Low,,TRUE,SW.166,,,,,FALSE,,TRUE,,,"Biomorph,Pod,Uplift"
Mass Transfer,,Personal Augmentation,"The flexbot may transfer up to half of its Durability to another bot that also has the mass transfer enhancement. The donated mass may not cause the recipient bot to exceed its normal maximum Durability. Transferring mass doesn't transfer armor or any augmentations to the recipient bot. Transferring mass may change the target size of the donor bot (see Flexbot Size, p. 204). Damaged mass may also simply be dumped, enabling the module to discard damage and also wounds, at the cost of lower Durability.",Moderate,,TRUE,TH.211,,,,,FALSE,,TRUE,,,Synthmorph
Memory Lock,,Personal Augmentation,"This implant, when activated, prevents information from being stored in the subject's long-term memory or from being recorded via lifelog, mnemonic augmentation, or other sensory link. It also temporarily blocks up-to-the second cortical stack backups. The individual will retain short-term memories, but for no more than a few minutes. This implant is usually a requirement for personal aides, consultants, and other underlings of powerful people. The implants can be remotely activated by the superior during confidential meetings or other secret affairs to ensure privacy and deniability. This implant is also a popular option among some personal couriers who intentionally retain no memories of the party that hired them in case they are intercepted.",Low,,TRUE,PO.149,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Mental Repair,,Personal Augmentation,"This upgrade continuously monitors and analyzes the user's mental patterns, then corrects and adjusts the user's mental processes to counter psychological stress. In effect, the character's mind benefits from continuous unconscious psychotherapy and heals mental stress far more rapidly and easily than normal. The character automatically makes a Willpower x 3 Test once a day. Every success eliminates one point of stress. If the character has already benefited from psychotherapy (p. 215, EP) that day or any other effect that healed stress, trauma, or disorders, the test is not made. This upgrade has no effect on trauma or disorders.",High,,TRUE,TH.141,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Micro-Tools,,Personal Augmentation,"+20 bonus to modifying devices with mechanical parts, opening locks, disarming alarms, first aid or other jiggery pokery.",Moderate,,TRUE,TH.214,,,,,FALSE,,TRUE,,,Synthmorph
Microwave Link,,Personal Augmentation,"This swarm communicates by microwave link. Rage 50m in atmosphere, 200m in vacuum. +30 to detect swarm when using radar.",Moderate,,TRUE,TH.214,,,,,FALSE,,TRUE,,,Synthmorph
Modularized Gear,,Personal Augmentation,"Allows any small-sized or smaller item of equipment to be directly integrated into the flexbot's body. Modularized gear can't be dropped, pickpocketed, or disarmed. A flexbot with the shape adjusting enhancement may retract modular gear into its body, making it extremely difficult to detect. Tests to find retracted modular gear using penetrative scans such as t-rays are at a -30. Such gear is impossible to detect via visual inspection alone. No more than three pieces of modular gear may be installed on a given appendage. Devices requiring fine manipulation or aim, such as laser links and covert operation tools, must be installed on a limb with a full range of manipulative motion to be useful. Increase the price of the modularized gear by one level.",Expensive,,FALSE,TH.211,,,,,FALSE,,TRUE,,,Synthmorph
Monitor Module,,Personal Augmentation,"A variant ghostrider module (p. 307, EP), the monitor module houses an observer ego (usually a monitor AI, see below) that keeps tabs on the character's movements, activities, and mesh traffic. Some monitor modules are installed discreetly, without the bearer being aware of the spy in their head; others are more overt about their presence, purpose, and activity. Monitors can access the mesh without the character's knowledge. If the morph is equipped with a puppet sock, the monitor ego can seize control of the morph. This implant is designed to be difficult to detect and identify; impose a -10 penalty on appropriate skill tests. Attempts to hack into the Monitor Module suffer a -20 modifier and can be actively countered by the monitor ego.",Moderate,,TRUE,TH.197,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Neural Enhancers,,Personal Augmentation,"This active nanotechnology bonds with the morph's neural structures, creating a series of specialized cognitive subprocessors that enhance the user's intelligence. It provides users with a +5 modifier to COG. However, enhancing intelligence is a difficult process and this enhancement is based on techniques used on existing morphs. It has no effect if used on a morph that has a COG modifier of +10 or more. This augmentation can be used on biomorphs, pods, and synthmorphs.",Expensive,,FALSE,RW.189,,,,COG:5,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Optogenetics Module,,Personal Augmentation,This implant is designed to be used in biomorphs like the freeman (TH p. 191) that are genetically modified to make their neurons sensitive to light. This module establishes a network within the brain to manipulate these neurons with selective pulses of light. Whomever controls the optogenetics module (usually a monitor module muse or remote overseer) can trigger neuronal activity as desired. Use of this implant requires directly referencing the source material.,Low,,TRUE,TH.197,,,,,FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift"
Panopticon,,Personal Augmentation,"The ubiquity of sensor system found in almost all habitats and spaceships means that any transhuman could theoretically monitor a dozen or more different locations to see what is occurring there. Unfortunately, most transhuman minds are simply not adapted to process that much data or to deal with so many different sources of information all at once. As a result, even infomorphs must normally switch their attention between the various locations and vantage points they are observing. Watching multiple views of a single location is no problem and usually provides the character with between +10 to +30 to their Perception Tests. Viewing different locations at one time, however, is far more difficult and taxing, requiring a Detailed Perception Quick Action (p. 190, EP) for each. Alternatively, the character can passively observe many locations/sensor feeds with automatic Basic Perception (p. 190, EP), but this imposes a -20 penalty to all of these Perception Tests due to distraction. The panopticon upgrade mitigates this limitation with sophisticated algorithms that help the ego analyze and process sensory input. The infomorph can use Detailed Perception on three locations/sensor feeds at once (increase this to 5 locations if the character also has multi-tasking) without any penalty. Alternatively, the infomorph only suffers a -10 distraction modifier when using Basic Perception to view multiple locations and feeds at once. This upgrade is common among habitat cyberbrains, as each multi-tasking module beyond the first allows Detailed Perception to be used on another 2 areas at once.",High,,TRUE,TH.141,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
Parallel Processor,,Personal Augmentation,"A modified derivative of the neo-syngergist hypermesh link, this augmentation allows users to link their minds together together in a manner similar to parallel processing computers, allowing them to borrow processing power from other linked egos to solve intellectual problems. In addition to automatically providing the appropriate teamwork bonus for the problem (to a maximum of +30) without the others needing to take any actions, as long as three or more users are linked together, each user also gains a +5 COG bonus for the duration of the linkage. These bonuses only apply when the users are linked. Users must possess the mental speed augmentation to use this implant. While the implant is active, the character's Trauma Threshold is reduced by 1. To avoid possible personality bleed-over, users are advised to use this augmentation for no more than six hours per day.",High,,TRUE,RW.189,,,,"COG:5, TT:-1",FALSE,,TRUE,,,"Biomorph,Synthmorph,Pod,Uplift,Eidolon"
Persistance,,Personal Augmentation,This software makes it more difficult for the ego to be forcibly shut down when brainhacked. Apply an additional -10 modifier to the intruder's Infosec Test (in addition to the standard -30 modifier for brainhacking).,Low,,TRUE,TH.140,,,,,FALSE,,TRUE,,,"Synthmorph,Pod,Eidolon"
