NAME,TYPE,Stats,Skills,Armor,Stackable,Aptitudes,Blueprints,Cost,Minimum,Description,Book,Page
Backup Insurance (mod),Services,,,,,,FALSE,Moderate,,Periodic Ego backup possible stack retrieval and reinstantiation into a basic morph in the event of death. For high risk individuals.,EP,330
Backup Insurance (Quality),Services,,,,,,FALSE,Moderate,,"In the event of verifiable death, or after a set period of being missing, backup insurance will arrange for your cortical stack to be retrieved and your ego downloaded into another morph. If the cortical stack cannot be retrieved, your most recent backup is used. Most policies require that the holder provide a backup to be uploaded into secure storage at least twice a year. This industry works in a manner similar to insurance underwriting in terms of cost and individuals engaged in high risk professions can expect to pay a premium for the service. Additionally, attempts to retrieve a cortical stack are minimal unless one wants to pay for some extra effort (a thriving industry of paramilitary ego-repo operatives exists for this purpose).",,
Body Bank,Services,,,,,,FALSE,Moderate,,People who are egocasting to another station but whom hope to download back into the same body they have before when they return may put the morph on ice for the duration of their absence.,EP,331
Bot/Pod Rental,Services,,,,,,FALSE,Moderate,,"When you need a helping hand or a personal companion for a day or two, renting a bot or pod is often the way to go.",,
Large Animal Care,Services,,,,,,FALSE,Moderate,,Care for a large animal for a week.,PO,154
Psychosurgery,Services,,,,,,FALSE,Moderate,,"A character can purchase time in an immersive high-fidelity simulspace with expert care from psychosurgeons and AIs in order to cope with derangements and disorders that build up as a result of existing in a transhuman universe. For an additional price the procedure can be time shifted to speed up the relative time within the simulspace. For more details, see Mental Healing and Psychotherapy, and Psychosurgery.",,
Simulspace Subscription,Services,,,,,,FALSE,Moderate,,"This will buy you access to the simulspace of your choice, whether you want it for a private meeting/vacation or to play the latest and hottest VR game.",EP,331
Deception Scanner,Sensors,,,,,,TRUE,Low,,"This device is used to scan a subject's brain activity for patterns indicating deception. There are two versions, digital and analog. The digital scanner model plugs into the access jacks of a pod or synthmorph or establishes a wireless connection with the morph's basic mesh inserts. With analog scanners, a band is placed around the subject's head to measure brain activity with fMRI. The analog version only works on morphs with biological brains (meaning it doesn't work on pods or cyberbrained biomorphs but does work on biocore morphs). The subject's responses to questioning are matched against a database of patterns known to indicate deception. In game terms, the scanner makes an Opposed Test, pitting its Perception 60 against the target's Deception skill; success indicates it detects falsehoods. Deception scanners can be used to monitor a subject's response patterns over time to increase their likelihood of spotting lies. For each hour a scanner is used on the same subject, apply a cumulative +10 modifier to its Perception Test, up to a maximum of +30. Note that subjects who are emotionally distressed, suffer from mental disorders, or have undergone physical exertion are harder to read; gamemasters should apply a -10 to -30 to the Perception Test as they feel appropriate. Subjects with edited memories may be unaware they are telling falsehoods and will not fail the test. In many jurisdictions, failure on a deception scanner is not enough to gain a conviction and can't be used in court, as they are known to be only partially reliable and sometimes return false positives. It is, however, used as a legal justification for engaging in psychosurgery to explore the subject's memories. Digital detection scanners have no effect against targets with truth filter cyberware. However, the scanner can be used to detect the presence of truthfilter cyberware with a successful Interfacing Test at -30.",,
Neural Verifier,Sensors,,,,,,TRUE,Low,,"This handheld device was designed by the argonauts to test subjects for exsurgent infection. It either is plugged into the access jacks of a pod or synthmorph or establishes a wireless connection with the target morph's basic mesh inserts. Sensory input is fed to the subject while their brain patterns are analyzed and compared to a database of known exsurgent infection tells. The verifier can be used to run quick or thorough tests. Quick scans take only 30 seconds, but are less accurate (50% detection rate). Thorough scans take 1 hour, but have a higher detection rate (80%). See Exsurgent Virus Detection (below), for details on handling scans. If the verifier detects an exsurgent infection, it immediately disables its wireless capability, flashes a visible physical (not AR) warning (the entire device flashes a bright neon red color three times), and self- destructs so as to prevent it from being infected and used as an infection vector.",,
Analog Sensors/Tools,Sensors,,,,,,TRUE,Trivial,,"Given the digital characteristics of the exsurgent virus and the potential of sensory-based basilisk hacks, some agents and researchers have resorted to using archaic analog gear for specific missions and tasks deemed high-risk. Specific examples of analog gear include film-based cameras, tape-based audio recorders, VCRs, wired-based phone lines, analog radio devices, and low-resolution and filtered micro- phones, speakers, and video displays. While such gear is cheap and easily nanofabricated, it is clumsier, slower, more difficult to use, more prone to malfunc- tion, relies on physical media, and is generally a pain in the ass to work with. Characters using analog gear typically suffer -20 or -30 to skill tests. On the positive side, such methods usually provide +10 to +30 bonuses against basilisk hacks (gamemaster's discretion), if not immunity.",,
Blood Scanner,Sensors,,,,,,TRUE,Trivial,,"Blood scanners are used to detect infection by the biological nanovirus strain of the exsurgent virus. The scanner is simply pressed against the skin of a biomorph (or other living creature) so that microneedles can painlessly extract blood samples from capillaries. These samples are then analyzed and compared to a database of known nanoviral strains. See Exsurgent Virus Detection (Firewal p. 177), for details on handling scans.",,
Active Hyperspectral Imager,Sensors,,,,,,TRUE,High,,"The active model incorporates infrared, ultraviolet, terahertz and radar imaging. See the rules for hyperspectral sensors, PO p. 162.",PO,153
Ghost Imagers,Sensors,,,,,,TRUE,High,,These devices ignore all visual modifiers and they can see in infrared as well as standard visual frequencies.,PO,152
Hyperspectral Flat Camera,Sensors,,,,,,TRUE,High,,"These cameras rely on an array of tiny, networked micro-lensed imagers. These systems are flat and are easily hidden. Apply ?20 to visually spot.",PO,152
Hyperspectral Super-Wide Camera,Sensors,,,,,,TRUE,High,,This camera can view a 300 square kilometres with a 0.1 meter resolution. ,PO,153
Quantum Dot Camera Displays,Sensors,,,,,,TRUE,High,,"These devices act as both a display and a camera, they can be painted on any surface, are hyperspectral and do not have lenses.",PO,153
Quantum Radar,Sensors,,,,,,TRUE,High,,This device uses entangled emissions to provide a high resolution image to the user. +20 to Perception Tests using this system. ,PO,153
Fiberoptic Microphone,Sensors,,,,,,TRUE,Low,,"This device is a flexible and mesh-controllable length of fiberoptic cable, it can record infrasound and ultrasound. +10 to hearing Perception Tests. ",PO,152
ID Scanner,Sensors,,,,,,TRUE,Low,,This small hand-held device is used to read the nanotat IDs carried by most morphs,PO,153
Metal Detector,Sensors,,,,,,TRUE,Low,,"These devices use frequency induction to detect metals that are not apparent. They can be used to locate weapons, cyberware, or contraband.",PO,153
Motion Detector,Sensors,,,,,,TRUE,Low,,This device is able to operate passively or actively to detect movement within its vicinity. ,PO,153
Sensor Concealment,Sensors,,,,,,TRUE,Low,,This modification applies a -30 to tests to spot and identity sensors.,PO,153
Brain Print Scanner,Sensors,,,,,,TRUE,Moderate,,"This portable skullcap takes approximately 5 minutes to thoroughly scan a subject's brain patterns, producing a verifiable brain print.",PO,152
Fiber Camera,Sensors,,,,,,TRUE,Moderate,,"This camera is made from polymer fabrics, like clothing, that record visual wavelengths but without a lens making them immune to dazzlers and lens spotters.",PO,152
Flat Camera,Sensors,,,,,,TRUE,Moderate,,"These cameras rely on an array of tiny, networked micro-lensed imagers. These systems are flat and are easily hidden. Apply ?20 to visually spot.",PO,152
Hyperspectral Microphone,Sensors,,,,,,TRUE,Moderate,,"A hyperspectral mic hears the entire audio spectrum, from infrasonic to ultrasonic frequencies.",PO,153
Passive Hyperspectral Imager,Sensors,,,,,,TRUE,Moderate,,"The passive model perceives infrared to ultraviolet frequencies. See the rules for hyperspectral sensors, PO p. 162.",PO,153
Personal Interaction Sensor,Sensors,,,,,,TRUE,Moderate,,A worn device that gives users a +20 modifier to Kinesics Tests.,PO,153
Super-Wide Camera,Sensors,,,,,,TRUE,Moderate,,This camera can view a 300 square kilometres with a 0.1 meter resolution. ,PO,153
Bedlam,Scorcher,,,,,,FALSE,High,,"Bedlam programs assault the ego with traumatic mental input, inflicting mental stress. Victims are overwhelmed with horrific, monstrous, sanity-ripping sensory and emotional input. Each attack inflicts 1d10 SV.",EP,332
Cauterizer,Scorcher,,,,,,FALSE,High,,This scorch program rips into the ego with destructive neurofeedback routines. Each attack with a cauterizer inflicts 1d10 + 5 DV on the target ego. This damage is reflected as digitized neurological damage.,EP,332
Nightmare,Scorcher,,,,,,FALSE,High,,"Nightmare programs trigger anxiety and panic attacks within the victim by stimulating the neural circuitry representing the amygdala and hippocampus. The target ego must make a WIL x 2 Test. If they succeed, they are shaken but otherwise unaffected, suffering a -10 modifier to all actions until the end of the next Action Turn. If they fail, they suffers 1d10 / 2 stress damage and are overcome with panic. This causes them either to blindly flee, have a nervous breakdown, or cower in frozen shock (gamemaster's discretion). This panic episode lasts for 1 Action Turn per 10 points of MoF.",EP,332
Shutter,Scorcher,,,,,,FALSE,High,,"Shutters target the victim's sensory cortices, inflicting a -30 modifier to one chosen sense. Double this modifier if the attacking hacker scored an Excellent Success. This modifier reduces at the rate of 10 points per Action Turn.",EP,332
Spasm,Scorcher,,,,,,FALSE,High,,"Spasm programs are design to incapacitate the ego with excruciating pain. Affected targets must immediately make a WIL x 2 Test. If they fail, they immediately convulse, are disabled, and writhe in agony for 1 Action Turns per 10 full points of MoF. If they succeed, they still suffer a -30 modifier to all actions, which reduces at the rate of 10 points per Action Turn. Due to the nature of the delivery, pain tolerance of any sort has no effect.",EP,332
Disassembly Tools,Scavenged Tech,,,,,,TRUE,High,,"These tools are useful for salvage ops, breaking down wrecks, or dissembling anything from a habitat room to a vehicle or synthmorph. They include plasma torches, laser cutters, pneumatic jaws, and smart tools like spanners and wrenches that can be adapted to a wide array of connections and  ttings.",EP,330
Specimen Container,Scavenged Tech,,,,,,TRUE,Low,,"This capsule container is designed to hold samples of any sort (chemical, biological, etc.) in near stasis. It can be programmed to reproduce whatever conditions the user specifies, from cryogenic freezing to extreme heat, or even vacuum or high-pressure atmosphere.",EP,330
Mobile Lab,Scavenged Tech,,,,,,TRUE,Moderate,,"The mobile lab is a handheld device that contains all different types of sensors to investigate organic and inorganic liquid, gaseous, and solid components (from soil to tissue samples) and compositions. It performs material analysis using different methods of spectrometry and biochemical testing, comparing results to a built-in database of element and compound spectra. Its built in AI comes equipped with Academic: Chemistry 30.",EP,330
Superthermite Charges,Scavenged Tech,,,,,,TRUE,Moderate,,"These powerful and highly stable demolition charges are made from a combination of nanometals and metal oxides. A single charge can be used to create an explosive blast inflicting 2d10+5 damage. This charge can be shaped with a successful Demolitions Test, focusing the blast in a particular 90-degree direction (for example, to blow through a door). This triples the damage of the blast in the focused direction; in all other directions, the damage is reduced to 1/3rd (round down). Multiple charges apply a cumulative effect.",EP,330
Defense Platform,Robots,,,,,,FALSE,Expensive,,This robotic weapons platform is a defensive system for small settlements. They are often placed in orbit to guard against encroaching intruders.,RW,192
Dwarf,Robots,,,,,,FALSE,Expensive,,"These large industrial bots are named not just for their primary use""mining, excavation, tunneling, and construction""but because the default AIs they shipped with had a programmed tendency to happily whistle as they worked. Dwarfs are quadrapedal walkers, equipped with massive modular industrial tools like boring drills, shovels, hydraulic jacks, jackhammers, scooping arms, acid sprays, and so on.",EP,345
Retriever,Robots,,,,,,FALSE,Expensive,,"Small car-sized search-and-rescue robots. Equipped with integrated healing vat, shovels, firefighting and paramedic kits.",GC,162
Sentry Bot,Robots,,,,,,FALSE,Expensive,,"Robot sentries usually have a laser pulser, agonizer, shredder, and seeker rifle. Beam Weapons, Fray, Perception, Seeker Weapons, and Spray Weapons all at 40.",GC,162
Skimmers,Robots,,,,,,FALSE,Expensive,,"Drones that mine the atmospheres of gas giants for needed elements, usually H3.",PO,158
Stealth Drone,Robots,,,,,,FALSE,Expensive,,A small plane used to observe targets from overhead.,PO,158
Wobblycat,Robots,,,,,,FALSE,Expensive,,"These fast-moving, cat-like bots are about 50 centimeters long (less the tail) and made of stealth materials. They fulfill a surveillance and occasionally anti-personnel role in urban operations. Wobblycats can run, jump, or climb unseen into areas where a human-sized infiltrator would never be able to go, but with much greater speed than nanoswarms. The normal loadout for a Wobblycat is a suite of surveillance gear, but in an urban warfare or counterterrorism role, they can be loaded with explosives or non-lethal grenades instead. The Explosive loadout (below) destroys the bot when detonated.",,
Mining Aerostat,Robots,,,,,,TRUE,High,,"These Aerostats are deployed on the gas giant planets, loaded with equipment to extract specific volatiles from the atmosphere.",RW,192
Research Aerostat,Robots,,,,,,TRUE,High,,These Aerostats are loaded with sensors and scientific analysis equipment.,RW,192
Scorcher,Robots,,,,,,TRUE,High,,3m long tank like quadruped used for mining operations on Mercury. They have 2 manipulator arms and 4 additional sockets for tools,SW,170
Surveillance Aerostat,Robots,,,,,,TRUE,High,,"These Aerostats are equipped with sensors and surveillance packages, serving as an eye in the sky. They are also used for exploration and mapping.",RW,192
Creepy,Robots,,,,,,TRUE,Low,,"Creepies are small crawler bots that come in an eclectic variety of shapes and forms, from robosquirrels to insectoids to bizarre and artsy mechanical creatures. Creepies were originally designed as a sort of robotic pet, but they are commonly used as a general purpose household minion, like a more beloved servitor. Many people in fact wear a creepy on their person, dropping it to handle small tasks for them and letting it crawl up and down and over their body.",EP,345
Gnat,Robots,,,,,,TRUE,Low,,"Gnats are small rotorcraft camera/surveillance drones. Many people use gnats for personal lifelogging, while socialites and media use them to capture the glamor or hottest news.",EP,345
Recon Hopper,Robots,,,,,,TRUE,Low,,Mini-sized hopper bots for exploring surface terrain. Useful in no atmosphere. Equipped with image recognition software to find hidden objects.,GC,161
Robomule,Robots,,,,,,TRUE,Low,,Human-sized 6 legged simple drones designed to carry up to 250 kg of cargo over rough terrain. Also features a maker providing food for 4 biomorphs.,GC,162
Saucer,Robots,,,,,,TRUE,Low,,"These disc-shaped drones are lightweight and quiet. They are typically launched by throwing them like a frisbee, after which they propel themselves with an ionic drive. Saucers make excellent ""eye in the sky"" monitors and scouts.",EP,345
Servitor,Robots,,,,,,TRUE,Low,,"Servitors are the most common robot, acting as cooks, janitors, universal helpers, movers, and personal aides. Every home has one, if not several. Servitors are intentionally built in non-humanoid forms so as not to confuse them with common synthmorphs and in order to defuse bad feelings at ordering them around. However, they all have some form of ""face"" to interact with, so as not to be too machine-like.",EP,346
Speck,Robots,,,,,,TRUE,Low,,"Specks are tiny insectoid spy drones, 2.5 mm long and 2 mm wide, about the size of a small fruit fly. They fly with tiny wings, carry a microbug, and are excellent for surveillance purposes or otherwise being a ""speck on a wall."" Specks are difficult to notice (-30 Perception modifier) and almost impossible to distinguish from an actual insect.",EP,346
Zephyr,Robots,,,,,,TRUE,Low,,"Medium-sized winged flyers, capable of reconnoitering over long distances quickly. Essentially small planes launched by throwing them.",GC,163
Automech,Robots,,,,,,TRUE,Moderate,,"T Automechs are general purpose repair drones, found just about everywhere. Each particular automech tends to specialize in a particular type of repair work and so carries the appropriate tools and AI skills, whether it be habitat waste recyclers, outer hull integrity, or servitor systems. Standard automechs are wheeled cubes with articulated limbs, though they are also equipped with vectored-thrust drives for zero-G work.",EP,345
Bughunter,Robots,,,,,,TRUE,Moderate,,Flying Drones that eliminate all sensors in an area.,PO,157
Caretaker,Robots,,,,,,TRUE,Moderate,,A bot designed to care for smart animals.,PO,157
Dr. Bot,Robots,,,,,,TRUE,Moderate,,"These wheeled medical robots are designed to tend to and transport injured or sick people. They carry a healing vat, a specialized pharmaceuticals maker, miscellaneous medical gear, and articulated arms for conducting remote surgery.",EP,345
Explorenaut,Robots,,,,,,TRUE,Moderate,,"Dog-sized wheeled bots that are tethered back through the gate. Equipped with audio, visual, chemical, and radio sensors.",GC,160
Guardian Angel,Robots,,,,,,TRUE,Moderate,,"Similar to gnats, guardian angel rotorcraft hover around their charges, keeping a watchful eye out to protect them from threats.",EP,345
Hab Repair Bots,Robots,,,,,,TRUE,Moderate,,Crab like and standardized repair bots can be found anywhere transhumanity has spread.,PO,157
Harvester Drones,Robots,,,,,,TRUE,Moderate,,A drone with 6 to 8 arms and a small plasma thruster to provide mobility. ,PO,158
Manipulator Cuff,Robots,,,,,,TRUE,Moderate,,Designed to be worn as a forearm cuff on the outside of a vacsuit. It carries a Utilitool and a mobile lab. Can detach and move on its own.,GC,160
Recon Flyer Swarm,Robots,,,,,,TRUE,Moderate,,50 Micro-sized recon flyers with gas balloons and turbofans. Equipped with image recognition software. Useful for finding hidden items.,GC,161
Recon Hopper Swarm,Robots,,,,,,TRUE,Moderate,,20 Mini-sized hopper bots for exploring surface terrain. Useful in no atmosphere. Equipped with image recognition software to find hidden objects.,GC,161
Recon Snake,Robots,,,,,,TRUE,Moderate,,"Meter-long synthetic snake. Ideal for exploring cracks, holes, etc. Equipped with image recognition software to find hidden objects.",GC,162
Sky Mote Swarm,Robots,,,,,,TRUE,Moderate,,50 mini-sized aerostats designed to keep position over an area and act as a relay point for a mote mesh,GC,163
Spider Hand,Robots,,,,,,TRUE,Moderate,,A small robotic hand commonly used by uplifts who need a human hand design/strength to handle a task. ,PO,158
Thumper,Robots,,,,,,TRUE,Moderate,,"Seismic sensor motes and a weight to be ""thumped"" on the ground. AI has Academics: Geology 60 and Profession: Seismic Surveys 60. Satellite scans apply a +30.",GC,163
Recon Flyer,Robots,,,,,,TRUE,Trivial,,Micro-sized recon flyers with gas balloons and turbofans. Equipped with image recognition software. Useful for finding hidden items.,GC,161
Sky Mote,Robots,,,,,,TRUE,Trivial,,Mini-sized aerostats designed to keep position over an area and act as a relay point for a mote mesh,GC,163
Dream Shells,Relics,,,,,,FALSE,Expensive,,Iktomi-made devices which look vaguely like scallop shells 8 cm across.,GC,164
Fixor,Relics,,,,,,FALSE,Expensive,,"Small orange ovoid which, if pinched, remain perfectly stationary. Each Fixor can support up to 2,300 kg without moving a fraction of a millimeter until pinched again.",GC,165
Scour Rings,Relics,,,,,,FALSE,Expensive,,"A ring with a 26 cm hole. When shaken, a field appears in the hole and any object passing through the field will disintegrate to atoms.",GC,165
Fake Brainprint Plug-In,Program,,,,,,FALSE,Expensive,,"A program used by infomorphs and characters with cyberbrains, it allows the user to fake a brainprint scan. ",PO,156
Behavioral Psych,Program,,,,,,FALSE,High,,A program that uses provided data to build a psychological profile. Has Academics: Psychology 80 and gives +20 bonus to psychology tests.,PO,156
Event Reconstruction Software,Program,,,,,,FALSE,High,,Combines sensor data to help build a simulspace environment to help investigations. Gives +20 to Investigation Tests where applicable. ,PO,156
Exploit,Program,,,,,,FALSE,High,,Exploits are hacker tools that take advantage of known vulnerabilities in other software. They are required for intrusion attempts.,EP,331
Probability Mapping,Program,,,,,,FALSE,High,,"When supplied with data on a particular person, this software can make a guess as to their likely current whereabouts, activities, and possibly even moods.",PO,156
Skillsoft,Program,,,,,,FALSE,High,,Provides user with rating 40 in a given skill,EP,332
XP (High),Program,,,,,,FALSE,High,,"Universally restricted, Rare Experience Playback recordings, containing highly distasteful content or forbidden knowledge. ",EP,331
Encryption,Program,,,,,,FALSE,Low,,,EP,331
Facial/Image Recognition,Program,,,,,,FALSE,Low,,"This program can be used to take an image and run a pattern-matching search among public archives. Similar version of this program exist for other biometrics: gait recognition, vocal recognition, etc.",EP,331
Firewall,Program,,,,,,FALSE,Low,,This program protects a device from hostile intrusion. Every system comes with a standard version of this software by default.,EP,331
Radio Motion Detector,Program,,,,,,FALSE,Low,,Software that uses wireless mesh signals to act as a low resolution form of passive radar.,PO,156
XP (Low),Program,,,,,,FALSE,Low,,"Unrestricted, common, legal Experience Playback recordings often containing entertainment, scholastic or training content.",EP,331
AR Illusions,Program,,,,,,FALSE,Moderate,,These databases of AR clips can be used to create realistic illusions in someone's entoptic display.,EP,331
Cartography Package,Program,,,,,,FALSE,Moderate,,This software is used to build detailed maps. Idealy employed by flying morphs with the Mnemonic Agumentation or Life Recorder implant.,TH,199
Kinesics Software,Program,,,,,,FALSE,Moderate,,Gives a +10 to Kinesics Tests.,PO,156
Relationship Mapping,Program,,,,,,FALSE,Moderate,,"This program is useful for identifying a person's social relationships, including friends, relatives, lovers, co-workers and conspirators.",PO,156
Sniffer,Program,,,,,,FALSE,Moderate,,"Sniffer programs collect all of the transmission that pass to, from, or through the device they are running on.",EP,331
Spoof,Program,,,,,,FALSE,Moderate,,"Spoof is a hacker tool used to fake commands and transmissions, making them seem as if they came from another source.",EP,331
Tactical Networks,Program,,,,,,FALSE,Moderate,,These programs allow people in the same squad to share tactical data in real-time.,EP,331
Tracking,Program,,,,,,FALSE,Moderate,,This software is used to track people by their presence online.,EP,331
XP,Program,,,,,,FALSE,Moderate,,"Experience playback recordings are clips of someone else's experiences. Depending on the content, some XP (porn, snuff, crime, etc.) may be restricted in certain jurisdictions. Some XP clips are intentionally modified so that their emotive tracks are more intense, giving the viewer a greater thrill.",EP,331
Guard Dog,Pets,,,,,,TRUE,High,,"These smart dogs are trained for security or policing purposes and upgraded with Bioweave, enhanced vision, hardened skeleton, and reflex booster implants.",PO,154
Police Baboon,Pets,,,,,,TRUE,High,,"Police baboons are transgenic Cape baboons modified for obedience, heightened intelligence, and longer attention spans. Still of only (enhanced) animal intel-ligence, they are typically fielded in groups of two to seven with police handlers. Working as a police baboon handler is an extremely dangerous job, as the baboons have been known to turn as a pack upon their handler in mentally stressful situations, such as when attacked with sensory or nerve agents, or more rarely when subjected to psi or encounters with exsurgents. Nonetheless, baboon units remain popular with police commanders for tracking, crowd control, and guarding prisoners. Baboons are frighteningly strong, and a pack of them can easily immobilize most pris-oners""or tear them apart, if commanded. They are sometimes equipped with body armor and clubs. They are adapted to breathe Martian atmosphere. Implants = Enhanced Respiration, Enhanced Vision, Light Bioweave Armor (AV 2/3), Neurachem (Level 1), Temperature Tolerance Attacks",SW,168
Rust Hound,Pets,,,,,,TRUE,High,,"Rust hounds are large, transgenic dogs. In addition to being able to breathe the Martian atmosphere, they're able to smell it and are sometimes used as trackers. Implants = Enhanced Hearing, Enhanced Smell, Light Bioweave Armor (AV 2/3), Neurachem (Level 1), Temperature Tolerance, Toxin Filters Attacks",SW,168
Swarm Cat,Pets,,,,,,TRUE,High,,The creation of scum gene hackers for competitions. A unique assortment of enhancements should be expected.,PO,155
Aquarium Pet,Pets,,,,,,TRUE,Low,,"Not so much a pet as a prison, aquarium pets are transgenic aquarium animals that have been implanted with a ghostrider module.",RW,191
Bees and Gardener Wasps,Pets,,,,,,TRUE,Low,,A swarm of enhanced wasps/bees that provide basic gardening assistance and occasional security.,PO,154
Fur Coat,Pets,,,,,,TRUE,Low,,"A so-called ""fur coat"" is outerwear made from a living primitive organism. The creature's skin, fur, or scales are real. The organism is cultivated from transgenic stocks and grown around molds into clothing shapes, often with actual usefulness",EP,330
Smart Rat,Pets,,,,,,TRUE,Low,,"These upgrades of the common Norwegian rat are clever and dexterous, and they easily fit into a pocket or hood.",EP,330
Smart Roach,Pets,,,,,,TRUE,Low,,"Grown to the size of a small dog, these insects are often biosculpted for bright colors and patterns. They are useful for minor janitorial duties.",EP,330
Squidling,Pets,,,,,,TRUE,Low,,"Favored by uplifted octopi as pets or snacks, squidlings are 25cm long squid adapted for air breathing, they instinctively shoal with octomorphs.",RW,192
Poisonous Marmoset Swarm,Pets,,,,,,TRUE,Moderate,,"A prank that got out of hand, these bands of ten-centimeter-tall poisonous primates were eradicated, but it's always possible some got away. ",RW,192
Smart Camel,Pets,,,,,,TRUE,Moderate,,Less smelly and less obstinate than their unmodified forebears,GC,157
Smart Cat,Pets,,,,,,TRUE,Moderate,,"Though smart cats let people pet and feed them, they are even more stubborn and independent than their forebears. Nevertheless, some have been trained.",PO,155
Smart Dog,Pets,,,,,,TRUE,Moderate,,"Commonly used as discriminatory guardians, smart dogs are sometimes enhanced with combative bioware or cybernetics.",EP,330
Smart Hawk,Pets,,,,,,TRUE,Moderate,,Enhanced versions of predatory birds are common in large open habitats. Some have been trained for surveillance or security purposes.,PO,155
Smart Horse,Pets,,,,,,TRUE,Moderate,,Favored for riding and hauling gear and respond well to verbal commands.,GC,157
Smart Monkey,Pets,,,,,,TRUE,Moderate,,"Commonly used by criminal groups for minor larceny such as pickpocketing, smart monkeys can be useful and intelligent aides.",EP,330
Smart Racoon,Pets,,,,,,TRUE,Moderate,,Raccoon helpers are employed as personal assistant and for many of the same tasks as smart monkeys.,PO,155
Smart Wolf,Pets,,,,,,TRUE,Moderate,,"Smart wolves are sometimes favored over smart dogs as guardian animals and companions, partly because they tend to be more vicious and are superior tracker",GC,157
Titanian Caribou,Pets,,,,,,TRUE,Moderate,,"Companions of the reclusive hulder they have dark blubbery skin, antlers and muzzles that detect and break down ice, rock, and carbon grit.",RW,192
Desktop Cornucopia Machine,Nanotechnology,,,,,,FALSE,Expensive,,"Cornucopia machines (CMs) are general-purpose nanofabricators. The smallest CMs are desk-sized cubes approximately half a meter on a side with a volume of at least 40 liters. They can produce any small object, from tools to well-folded suits of clothing to handguns or a bowl of cereal. It is sometimes possible to assemble larger items, but they must be manufactured in smaller pieces and then assembled (likely requiring an appropriate Hardware Test). While users can purchase bulk raw materials, CMs also come equipped with a disassembler. The user loads garbage and other objects into the disassembler so that they can be turned into raw materials for the CM. All legally-available disassemblers only deconstruct non-living material.",EP,327
Ego Bridge,Nanotechnology,,,,,,FALSE,Expensive,,"Ego bridges are vat devices used for uploading and downloading minds. See Backups and Uploading, and Resleeving.",EP,328
General Hive,Nanotechnology,,,,,,FALSE,Expensive,,"General hives are capable of producing any conceivable type of nanobot with the right blueprints and/or programming. Even at their smallest size they are not really portable, with a minimum size being cubes 30 centimeters on a side and a volume of 25 liters.",EP,328
Nanotat Eraser,Nanotechnology,,,,,,FALSE,Expensive,,This illegal nanoswarm is designed to eradicate all signs of nanotatIDs. It takes 5 minutes and itches like crazy.,PO,152
Subverbee Swarm,Nanotechnology,,,,,,FALSE,Expensive,,"Subverbees create a distributed processing network hidden in a hab's gardener wasp swarms, cleaner nanoswarms, or other systems. The subverbees ""inoculate"" the targeted system with tiny processors that piggyback onto the mesh connections of their hosts. The resulting processing network doesn't have enough power to run AIs or simulspaces, but it can host a VPN, store data, and act as a concealed router for other mesh traffic.",,
Disassemblers,Nanotechnology,,,,,,TRUE,High,,"Also known as smart corrosives, these nanobots break down any matter. Their advantage over common acids is that not only are they able to break down any material by using energy to disrupt chemical bonds, but that they can be programmed to take apart certain components while ignoring others, leaving them intact. Disassemblers are a common weapon used against synthmorphs, eating away their components without having to worry about accidentally splashing biomorphs. Upon contact, these nanobots inflict 1d10 / 2 damage (round up) per Action Turn. Accumulated damage counts as a wound when the Wound Threshold is reached. Both Energy and Kinetic armor protect against this damage, but these armors are eaten away as well, so the Armor Value is reduced by the soaked DV.",EP,329
Healing Vat,Nanotechnology,,,,,,TRUE,High,,"Healing vats were the first type of nanotech medicine developed and remain the most powerful medical devices in common use. With the exception of a few exceptionally deadly nanoplagues, a healing vat can cure any disease and heal any injury. As long as the patient is alive when they are place in the healing vat, they will not only survive, but emerge without a scratch. A healing vat can even take a severed head (as long as it has been stabilized by medichines or nanotech first aid) and regrow an entire body based on the head's genetics. If the patient's body or medical records contain information about their implants, bioware, or advanced nanotechnology, all of these modifications are also fully restored. Few people suffer injuries serious enough to require a healing vat. Most are used as a safe and easy way to perform bodysculpting or to install implants or bioware. Healing vats use specialized nanomachines to either alter the patient's body or integrate implants or bioware. One advantage of using a healing vat is that no additional healing time is needed, the patient leaves the vat fully recovered from the augmentation and ready to go. Every hospital, clinic, bodyshop, and augmentation parlor has several healing vats. The time required by a healing vat varies with the severity of the damage it is healing or the extent of the modification being made, as noted on the Healing Vat table.",EP,326
Proteans,Nanotechnology,,,,,,TRUE,High,,"This nanoswarm is designed to disassemble other materials and objects and to create a single specific, pre-programmed device from the components (much like a specialized nanofabricator). The proteans must be able to scavenge appropriate raw materials (for example, to create a metallic device the nanobots must transform something else made of metal). The construction time takes 1 hour per cost category of the item (1 hour for a Trivial cost item, 2 hours for Low, etc.).",EP,329
Scouts,Nanotechnology,,,,,,TRUE,High,,"A scout nanoswarm will systematically map and explore an area, collecting samples of all materials and substances it encounters. The samples are carried back to the hive or canister and chemically analyzed. Scouts can also be used for forensic purposes, collecting DNA samples, analyzing chemical residues, and examining other evidence.",EP,329
