NAME,shortname,TYPE,Description,Cost,Minimum,Blueprints,Source,Effect
Saboteur Swarm,Saboteurs,Nanotechnology,"This microswarm is useful for a number of agricultural purposes: killing weeds, planting seeds, trimming plants, pollinating, and even harvesting small items. It may also be programmed to simply defoliate an area.",Moderate,,TRUE,EP.329,
Scout Swarm,Scouts,Nanotechnology,"A scout nanoswarm will systematically map and explore an area, collecting samples of all materials and substances it encounters. The samples are carried back to the hive or canister and chemically analyzed. Scouts can also be used for forensic purposes, collecting DNA samples, analyzing chemical residues, and examining other evidence.",High,,TRUE,EP.329,
Sensor Motes,,Nanotechnology,"As ""Motes"" but with sensor input. Cameras are common.",Moderate,,TRUE,GC.155,
Smart Plankton,,Nanotechnology,"A variant of smart dust designed for underwater use. This swarm can record video, audio, temperature, chemical traces and movement. ",Moderate,,TRUE,PO.152,
Specialized Hive,,Nanotechnology,"Specialized hives are far more common than general hives, though they can produce only one type of nanomachines (i.e., choose one type of nanoswarm per hive). The smallest specialized hives are approximately the size of a 12-gauge shotgun shell or a large cherry tomato.",Moderate,,TRUE,EP.328,
Suborning Swarm,,Nanotechnology,"This nanotechnology is highly restricted in most of the solar system, including on all worlds and habitats controlled by the Planetary Consortium. The nanobots in this swarm are programmed to identify all sensors and devices that transmit any signal in the electromagnetic spectrum. This includes radios, ectos, communication links, microbugs, x-ray emitters, etc. Once identified, the swarm's operator can order the nanobots to suborn these sensors and transmitters. Nanomachines in the swarm then attach themselves to all of these devices in the area and can attempt to either disable or tap into them.

Disabling sensors and transmitters is rather easy; the swarm simply creates enough electromagnetic interference in and around the device to make it unusable. Make a Simple Test using the swarm's Hardware: Electronics skill of 40. Success indicates all devices have been temporarily disabled. Failure means that a small portion of devices remain active or semi-functional. Large devices may not be disabled. Each swarm can disable sensors and transmitters for up to 1 hour before it must be recharged. Temporary disablement has no long-term damaging effects on the devices. Operators of the devices may attempt to overrride the jamming; in this case the operator must succeed in an Variable Opposed Interfacing Test against the swarm's skill of 40, per the rules for Radio Jamming, p. 262, EP.

Tapping into devices is more difficult. In this case, make a regular test using the swarm's Hardware: Electronics skill of 40. It is recommended the game- master apply a single roll to determine the swarm's general effectiveness, and handle individual devices on a case-by-case basis as needed. If successful, the swarm siphons sensor and communication feeds through physical taps in the devices' internal electronics. Note that encrypted transmissions are not decoded, though the operator (or their muse) can attempt to decrypt them on an individual basis.

Suborning swarms are ineffective against other nanoswarms (including smart dust) and the sensory and communication implants and enhancements of biomorphs. They are, however, effective against the sensors and communications of robots and synthmorphs, and are especially dangerous to swarmanoids (including skulkers and smart swarms), as they inhibit the ability of the swarmanoid components to communicate. If the Hardware: Electronics Test to disable is successful against a swarmanoid, that morph suffers a negative modifier equal to the suborning swarm's MoS for as long as it remains in the swarm's area of effect.",High,,TRUE,FW.175,
Subverbee Swarm,Subverbees,Nanotechnology,"Subverbees create a distributed processing network hidden in a hab's gardener wasp swarms, cleaner nanoswarms, or other systems. The subverbees ""inoculate"" the targeted system with tiny processors that piggyback onto the mesh connections of their hosts. The resulting processing network doesn't have enough power to run AIs or simulspaces, but it can host a VPN, store data, and act as a concealed router for other mesh traffic.",Expensive,,FALSE,FW.175,
Taggant Swarm,Taggants,Nanotechnology,"Taggants seek to lodge themselves onto everything in their area of dispersal. Each carries a unique identifier, so that if it is found later, the tagged person or object can be linked back to the point they were tagged. Taggants can be programmed to remain silent, only responding to query broadcasts made with the proper crypto codes, or they can be programmed to broadcast their location back to the deployer via the mesh.",Low,,TRUE,EP.329,
AR Illusions,,Programs,These databases of AR clips can be used to create realistic illusions in someone's entoptic display.,Moderate,,FALSE,EP.331,
Behavioral Psych,,Programs,A program that uses provided data to build a psychological profile. Has Academics: Psychology 80 and gives +20 bonus to psychology tests.,High,,FALSE,PO.156,
Cartography Package,,Programs,This software is used to build detailed maps. Idealy employed by flying morphs with the Mnemonic Agumentation or Life Recorder implant.,Moderate,,FALSE,TH.199,
Encryption,,Programs,,Low,,FALSE,EP.331,
Event Reconstruction Software,Event Reconstruction,Programs,Combines sensor data to help build a simulspace environment to help investigations. Gives +20 to Investigation Tests where applicable. ,High,,FALSE,PO.156,
Exploit Software,Exploit,Programs,Exploits are hacker tools that take advantage of known vulnerabilities in other software. They are required for intrusion attempts.,High,,FALSE,EP.331,
Facial/Image Recognition Software,Facial/Image Recognition,Programs,"This program can be used to take an image and run a pattern-matching search among public archives. Similar version of this program exist for other biometrics: gait recognition, vocal recognition, etc.",Low,,FALSE,EP.331,
Fake Brainprint Plug-In,,Programs,"A program used by infomorphs and characters with cyberbrains, it allows the user to fake a brainprint scan. ",Expensive,,FALSE,PO.156,
Firewall Software,Firewall,Programs,This program protects a device from hostile intrusion. Every system comes with a standard version of this software by default.,Low,,FALSE,EP.331,
Infection Scanner,,Programs,"This software, which is developed, maintained, and updated by the argonauts, scans software of all types-including files, system processes, ego backups, and infomorphs-for digital exsurgent virus infection. Scanning takes anywhere from 1 Turn (simple files) to 1 hour (infomorphs and backups), depending on the complexity of the software. See Exsurgent Virus Detection (p. 177), for details on handling scans. Note that encrypted software cannot be analyzed.  While the argonaut software is free and open source, various proprietary and forked spin-offs exist with differing costs, detection rates, and specializations.",Trivial,,FALSE,,
Kinesics Software,,Programs,Gives a +10 to Kinesics Tests.,Moderate,,FALSE,PO.156,
Obfuscated Binary,,Programs,"This modification to software clutters a program with additional instructions and unnecessary features, with the goal of concealing its true purpose. It's sometimes used by hackers to avoid having software like exploits or sniffers be discovered if they're captured and their mesh inserts examined. A Programming Test at -30 can determine the true nature of an obfuscated binary, but only if the programmer has reason to suspect something is amiss and specifically searches for it. [One Cost Category Higher Than Software Cost]",Variable,,FALSE,,
Probability Mapping Software,Probability Mapping,Programs,"When supplied with data on a particular person, this software can make a guess as to their likely current whereabouts, activities, and possibly even moods.",High,,FALSE,PO.156,
Radio Motion Detector,,Programs,Software that uses wireless mesh signals to act as a low resolution form of passive radar.,Low,,FALSE,PO.156,
Relationship Mapping Software,Relationship Mapping,Programs,"This program is useful for identifying a person's social relationships, including friends, relatives, lovers, co-workers and conspirators.",Moderate,,FALSE,PO.156,
Skillsoft,,Programs,These programs provide the character with a rating of up to 40 in a single Active skill.,High,,FALSE,,
Sniffer Software,Sniffer,Programs,"Sniffer programs collect all of the transmission that pass to, from, or through the device they are running on.",Moderate,,FALSE,EP.331,
Spoof Spoof,Spoof,Programs,"Spoof is a hacker tool used to fake commands and transmissions, making them seem as if they came from another source.",Moderate,,FALSE,EP.331,
Tactical Network,Tacnet,Programs,These programs allow people in the same squad to share tactical data in real-time.,Moderate,,FALSE,EP.331,
Tracking Software,Tracking,Programs,This software is used to track people by their presence online.,Moderate,,FALSE,EP.331,
XP Software,XP,Programs,"Experience playback recordings are clips of someone else's experiences. Depending on the content, some XP (porn, snuff, crime, etc.) may be restricted in certain jurisdictions. Some XP clips are intentionally modified so that their emotive tracks are more intense, giving the viewer a greater thrill.",Variable,,FALSE,EP.331,
Dream Shells,,Relics,Iktomi-made devices which look vaguely like scallop shells 8 cm across.,Expensive,,FALSE,GC.164,
Fixor,,Relics,"Small orange ovoid which, if pinched, remain perfectly stationary. Each Fixor can support up to 2,300 kg without moving a fraction of a millimeter until pinched again.",Expensive,,FALSE,GC.165,
Scour Rings,,Relics,"A ring with a 26 cm hole. When shaken, a field appears in the hole and any object passing through the field will disintegrate to atoms.",Expensive,,FALSE,GC.165,
Disassembly Tools,,Scavenger Tech,"These tools are useful for salvage ops, breaking down wrecks, or dissembling anything from a habitat room to a vehicle or synthmorph. They include plasma torches, laser cutters, pneumatic jaws, and smart tools like spanners and wrenches that can be adapted to a wide array of connections and  ttings.",High,,TRUE,EP.330,
Mobile Lab,,Scavenger Tech,"The mobile lab is a handheld device that contains all different types of sensors to investigate organic and inorganic liquid, gaseous, and solid components (from soil to tissue samples) and compositions. It performs material analysis using different methods of spectrometry and biochemical testing, comparing results to a built-in database of element and compound spectra. Its built in AI comes equipped with Academic: Chemistry 30.",Moderate,,TRUE,EP.330,
Specimen Container,,Scavenger Tech,"This capsule container is designed to hold samples of any sort (chemical, biological, etc.) in near stasis. It can be programmed to reproduce whatever conditions the user specifies, from cryogenic freezing to extreme heat, or even vacuum or high-pressure atmosphere.",Low,,TRUE,EP.330,
Superthermite Charge,,Scavenger Tech,"These powerful and highly stable demolition charges are made from a combination of nanometals and metal oxides. A single charge can be used to create an explosive blast inflicting 2d10+5 damage. This charge can be shaped with a successful Demolitions Test, focusing the blast in a particular 90-degree direction (for example, to blow through a door). This triples the damage of the blast in the focused direction; in all other directions, the damage is reduced to 1/3rd (round down). Multiple charges apply a cumulative effect.",Moderate,,TRUE,EP.330,
Bedlam,,Scorchers,"Bedlam programs assault the ego with traumatic mental input, inflicting mental stress. Victims are overwhelmed with horrific, monstrous, sanity-ripping sensory and emotional input. Each attack inflicts 1d10 SV.",High,,FALSE,EP.332,1d10 SV
Cauterizer,,Scorchers,This scorch program rips into the ego with destructive neurofeedback routines. Each attack with a cauterizer inflicts 1d10 + 5 DV on the target ego. This damage is reflected as digitized neurological damage.,High,,FALSE,EP.332,1d10 + 5 DV
Nightmare,,Scorchers,"Nightmare programs trigger anxiety and panic attacks within the victim by stimulating the neural circuitry representing the amygdala and hippocampus. The target ego must make a WIL x 2 Test. If they succeed, they are shaken but otherwise unaffected, suffering a -10 modifier to all actions until the end of the next Action Turn. If they fail, they suffers 1d10 / 2 stress damage and are overcome with panic. This causes them either to blindly flee, have a nervous breakdown, or cower in frozen shock (gamemaster's discretion). This panic episode lasts for 1 Action Turn per 10 points of MoF.",High,,FALSE,EP.332,(1d10 / 2) x (MoF / 10) SV on WILx2 failure
Shutter,,Scorchers,"Shutters target the victim's sensory cortices, inflicting a -30 modifier to one chosen sense. Double this modifier if the attacking hacker scored an Excellent Success. This modifier reduces at the rate of 10 points per Action Turn.",High,,FALSE,EP.332,-30 to one sense
Spasm,,Scorchers,"Spasm programs are design to incapacitate the ego with excruciating pain. Affected targets must immediately make a WIL x 2 Test. If they fail, they immediately convulse, are disabled, and writhe in agony for 1 Action Turns per 10 full points of MoF. If they succeed, they still suffer a -30 modifier to all actions, which reduces at the rate of 10 points per Action Turn. Due to the nature of the delivery, pain tolerance of any sort has no effect.",High,,FALSE,EP.332,"Pain on WILx2 failure, -30 to all actions on success"
Active Hyperspectral Imager,,Sensors,"The active model incorporates infrared, ultraviolet, terahertz and radar imaging. See the rules for hyperspectral sensors, PO p. 162.",High,,TRUE,PO.153,
Analog Sensors/Tools,,Sensors,"Given the digital characteristics of the exsurgent virus and the potential of sensory-based basilisk hacks, some agents and researchers have resorted to using archaic analog gear for specific missions and tasks deemed high-risk. Specific examples of analog gear include film-based cameras, tape-based audio recorders, VCRs, wired-based phone lines, analog radio devices, and low-resolution and filtered micro- phones, speakers, and video displays. While such gear is cheap and easily nanofabricated, it is clumsier, slower, more difficult to use, more prone to malfunc- tion, relies on physical media, and is generally a pain in the ass to work with. Characters using analog gear typically suffer -20 or -30 to skill tests. On the positive side, such methods usually provide +10 to +30 bonuses against basilisk hacks (gamemaster's discretion), if not immunity.",Trivial,,TRUE,FW.176,
Blood Scanner,,Sensors,"Blood scanners are used to detect infection by the biological nanovirus strain of the exsurgent virus. The scanner is simply pressed against the skin of a biomorph (or other living creature) so that microneedles can painlessly extract blood samples from capillaries. These samples are then analyzed and compared to a database of known nanoviral strains. See Exsurgent Virus Detection (Firewal p. 177), for details on handling scans.",Trivial,,TRUE,FW.176,
Brain Print Scanner,,Sensors,"This portable skullcap takes approximately 5 minutes to thoroughly scan a subject's brain patterns, producing a verifiable brain print.",Moderate,,TRUE,PO.152,
Deception Scanner,,Sensors,"This device is used to scan a subject's brain activity for patterns indicating deception. There are two versions, digital and analog.

The digital scanner model plugs into the access jacks of a pod or synthmorph or establishes a wireless connection with the morph's basic mesh inserts. With analog scanners, a band is placed around the subject's head to measure brain activity with fMRI. The analog version only works on morphs with biological brains (meaning it doesn't work on pods or cyberbrained biomorphs but does work on biocore morphs).

The subject's responses to questioning are matched against a database of patterns known to indicate deception. In game terms, the scanner makes an Opposed Test, pitting its Perception 60 against the target's Deception skill; success indicates it detects falsehoods. Deception scanners can be used to monitor a subject's response patterns over time to increase their likelihood of spotting lies. For each hour a scanner is used on the same subject, apply a cumulative +10 modifier to its Perception Test, up to a maximum of +30. Note that subjects who are emotionally distressed, suffer from mental disorders, or have undergone physical exertion are harder to read; gamemasters should apply a -10 to -30 to the Perception Test as they feel appropriate. Subjects with edited memories may be unaware they are telling falsehoods and will not fail the test.

In many jurisdictions, failure on a deception scanner is not enough to gain a conviction and can't be used in court, as they are known to be only partially reliable and sometimes return false positives. It is, however, used as a legal justification for engaging in psychosurgery to explore the subject's memories.

Digital detection scanners have no effect against targets with truth filter cyberware. However, the scanner can be used to detect the presence of truthfilter cyberware with a successful Interfacing Test at -30.",Low,,TRUE,FW.176,
Fiber Camera,,Sensors,"This camera is made from polymer fabrics, like clothing, that record visual wavelengths but without a lens making them immune to dazzlers and lens spotters.",Moderate,,TRUE,PO.152,
Fiberoptic Microphone,,Sensors,"This device is a flexible and mesh-controllable length of fiberoptic cable, it can record infrasound and ultrasound. +10 to hearing Perception Tests. ",Low,,TRUE,PO.152,
Flat Camera,,Sensors,"These cameras rely on an array of tiny, networked micro-lensed imagers. These systems are flat and are easily hidden. Apply ?20 to visually spot.",Moderate,,TRUE,PO.152,
Ghost Imager,,Sensors,These devices ignore all visual modifiers and they can see in infrared as well as standard visual frequencies.,High,,TRUE,PO.152,
Hyperspectral Flat Camera,,Sensors,"These cameras rely on an array of tiny, networked micro-lensed imagers. These systems are flat and are easily hidden. Apply ?20 to visually spot.",High,,TRUE,PO.152,
Hyperspectral Microphone,,Sensors,"A hyperspectral mic hears the entire audio spectrum, from infrasonic to ultrasonic frequencies.",Moderate,,TRUE,PO.153,
Hyperspectral Super-Wide Camera,,Sensors,This camera can view a 300 square kilometres with a 0.1 meter resolution. ,High,,TRUE,PO.153,
ID Scanner,,Sensors,This small hand-held device is used to read the nanotat IDs carried by most morphs,Low,,TRUE,PO.153,
Metal Detector,,Sensors,"These devices use frequency induction to detect metals that are not apparent. They can be used to locate weapons, cyberware, or contraband.",Low,,TRUE,PO.153,
Motion Detector,,Sensors,This device is able to operate passively or actively to detect movement within its vicinity. ,Low,,TRUE,PO.153,
Neural Verifier,,Sensors,"This handheld device was designed by the argonauts to test subjects for exsurgent infection. It either is plugged into the access jacks of a pod or synthmorph or establishes a wireless connection with the target morph's basic mesh inserts. Sensory input is fed to the subject while their brain patterns are analyzed and compared to a database of known exsurgent infection tells.

The verifier can be used to run quick or thorough tests. Quick scans take only 30 seconds, but are less accurate (50% detection rate). Thorough scans take 1 hour, but have a higher detection rate (80%). See Exsurgent Virus Detection (below), for details on handling scans.

If the verifier detects an exsurgent infection, it immediately disables its wireless capability, flashes a visible physical (not AR) warning (the entire device flashes a bright neon red color three times), and self- destructs so as to prevent it from being infected and used as an infection vector.",Low,,TRUE,FW.177,
Passive Hyperspectral Imager,,Sensors,"The passive model perceives infrared to ultraviolet frequencies. See the rules for hyperspectral sensors, PO p. 162.",Moderate,,TRUE,PO.153,
Personal Interaction Sensor,,Sensors,A worn device that gives users a +20 modifier to Kinesics Tests.,Moderate,,TRUE,PO.153,
Quantum Dot Camera Displays,,Sensors,"These devices act as both a display and a camera, they can be painted on any surface, are hyperspectral and do not have lenses.",High,,TRUE,PO.153,
Quantum Radar,,Sensors,This device uses entangled emissions to provide a high resolution image to the user. +20 to Perception Tests using this system. ,High,,TRUE,PO.153,
Sensor Concealment,,Sensors,This modification applies a -30 to tests to spot and identity sensors.,Low,,TRUE,PO.153,
Super-Wide Camera,,Sensors,This camera can view a 300 square kilometres with a 0.1 meter resolution. ,Moderate,,TRUE,PO.153,
Active ID Protection,,Services,An active service that goes out of its way to protect an identity. Notifying authorities of theft attempts and directly blocking attacks.,Moderate,,FALSE,PO.154,
Animal Training,,Services,One month of training for an animal.,Moderate,,FALSE,PO.154,
Anonymous Account,,Services,These accounts are crucial for anyone who wants to be discreet with their online transactions. See Anonymous Account Services.,Moderate,,FALSE,EP.330,
Backup,,Services,"A single, one-time backup without insurance is sometimes all the poor can afford, hoping that they can buy backup insurance later or that someone that cared about them will see to a resleeving.",Moderate,,FALSE,EP.330,
Backup Insurance (Budget),Backup Insurance,Services,"In the event of verifiable death, or after a set period of being missing, backup insurance will arrange for your cortical stack to be retrieved and your ego downloaded into another morph. If the cortical stack cannot be retrieved, your most recent backup is used. Most policies require that the holder provide a backup to be uploaded into secure storage at least twice a year. This industry works in a manner similar to insurance underwriting in terms of cost and individuals engaged in high risk professions can expect to pay a premium for the service. Additionally, attempts to retrieve a cortical stack are minimal unless one wants to pay for some extra effort (a thriving industry of paramilitary ego-repo operatives exists for this purpose).",Low,,FALSE,EP.330,
Backup Insurance (Quality),,Services,"In the event of verifiable death, or after a set period of being missing, backup insurance will arrange for your cortical stack to be retrieved and your ego downloaded into another morph. If the cortical stack cannot be retrieved, your most recent backup is used. Most policies require that the holder provide a backup to be uploaded into secure storage at least twice a year. This industry works in a manner similar to insurance underwriting in terms of cost and individuals engaged in high risk professions can expect to pay a premium for the service. Additionally, attempts to retrieve a cortical stack are minimal unless one wants to pay for some extra effort (a thriving industry of paramilitary ego-repo operatives exists for this purpose).",Moderate,,FALSE,EP.330,
Blind Spot/Route,,Services,A map into or out of a location that is normally under surveillance. ,High,,FALSE,PO.154,
Body Bank,,Services,People who are egocasting to another station but whom hope to download back into the same body they have before when they return may put the morph on ice for the duration of their absence.,Moderate,,FALSE,EP.331,
Bot/Pod Rental,,Services,"When you need a helping hand or a personal companion for a day or two, renting a bot or pod is often the way to go.",Moderate,,FALSE,,
Egocasting,,Services,"This is the use of a farcaster to transmit an ego/infomorph. Farcasting is not cheap, and the cost is impacted by factors such as distance to receiver station and priority service (paying extra to get bumped ahead in line).",Expensive,,FALSE,,
Fake Ego ID,,Services,"This forged ID will pass in most inner system and Jovian Republic habitats, and sometimes others.",High,,FALSE,EP.331,
Large Animal Care,,Services,Care for a large animal for a week.,Moderate,,FALSE,PO.154,
Passive ID Protection,,Services,Services to monitor ID to prevent theft or abuse.,Low,,FALSE,PO.154,
Privacy Suite,,Services,An hours access to a private room.,Low,,FALSE,PO.154,
Private Sensor Feed,,Services,Rented access to a high quality sensor feed.,Low,,FALSE,PO.154,
Psychosurgery,,Services,"A character can purchase time in an immersive high-fidelity simulspace with expert care from psychosurgeons and AIs in order to cope with derangements and disorders that build up as a result of existing in a transhuman universe. For an additional price the procedure can be time shifted to speed up the relative time within the simulspace. For more details, see Mental Healing and Psychotherapy, and Psychosurgery.",Moderate,,FALSE,,
Simulspace Pass,Simulspace,Services,"This will buy you access to the simulspace of your choice, whether you want it for a private meeting/vacation or to play the latest and hottest VR game.",Low,,FALSE,,
Simulspace Subscription,,Services,"This will buy you access to the simulspace of your choice, whether you want it for a private meeting/vacation or to play the latest and hottest VR game.",Moderate,,FALSE,EP.331,
Small Animal Care,,Services,Care for a small/medium animal for a week.,Low,,FALSE,PO.154,
Space Travel,,Services,"Space transport cost depends on a number of factors like distance, quality of lodgings, and how much cargo you're bringing with. At the low end, an intra-habitat shuttle trip within the same cluster, or a trip to or from a planetary body's surface and orbit, is High: not cheap, but affordable. Travel from one habitat or planet to another is Expensive.",Expensive,,FALSE,,
Basic Cold Weather Gear,,Survival Gear,"Cold weather suit w/ face mask and goggles protects from cold temperatures to -50C, allows full maneuverability.",Trivial,,TRUE,SW.167,
Bio-Defense Swarm,,Survival Gear,"A swarm of bio-defense nanobots may be purchased separately in simple canisters from which they can be programmed and released to cover a 10-meter radius area. Without the hive, this nanoswarm will deplete to ineffectiveness after 2 weeks.",Moderate,,TRUE,GC.157,
Bio-Defense Unit,,Survival Gear,"Though it is unlikely that gatecrashers will catch an alien disease, they are more likely to suffer (some- times severe) allergic reactions to alien compounds or encounter alien life or environments that are poisonous, acidic, or otherwise harmful. In order to create a safe zone for an encampment in an alien environment, gatecrashers may deploy a bio-defense unit (BDU). This device consists of an advanced nanotech hive that deploys a nanobot swarm over a small area, specifically designed to destroy and break down all life or other complex organic molecules that are alien or toxic/dangerous to transhumans. The nanobots produced by this unit have no effect on any Earth-derived life or on any safe compounds they produce.

However, all known alien life possesses biochemistries that are highly distinctive and so a BDU can easily destroy all non-Earth life without risking any harm to gatecrashers or any pets, test animals, or biological compounds they bring with them from the solar system. The operator can also add specific alien life forms and compounds to the list of targets that the BDU will specifically not attack. 

The BDU is a small 15-centimeter hemisphere that contains the hive and a swarm of nanobots. When activated, the swarm deploys over an area 20 meters in diameter (or less if the operator desires). Users can combine multiple BDUs to clear larger areas. Within the designated area, the nanobots destroy and break down all alien life and remove every trace of alien biological activity, leaving behind only sterile soil, bare rock, and pure water. In addition to removing potential toxins, the BDU also clears an area of even the sturdiest alien plants that might interfere with setting up camp. Alien life that wanders into the protected area automatically suffers 1d10 ÷ 2 DV per Action Turn. If the creature has armor this will be eaten away first. This damage continues as long as the creature remains within the protected area. This process is sufficiently painful that almost all alien life swiftly flees the protected area. Outside of the safe zone, the nanobots deactivate and break down. [High] ",High,,TRUE,GC.157,
Breadcrumb Positioning System,Breadcrumb System,Survival Gear,"This worn device leaves micro ""breadcrumbs"" behind as the character moves. These devices interact with mesh inserts (or ectos) as long as they are within range (50 meters), allowing the user to map their position in relation to the breadcrumb trail. This is useful in derelict habitats, wilderness, and other areas where there is no local functioning mesh, and is helpful both for mapping and for finding one's way back.",Low,,TRUE,EP.332,
Breather,,Survival Gear,Backpack unit can supply breathable oxygen indefinitely when supplied with 1kg of water and 2 hrs of sunlight /day. ,Low,,TRUE,SW.167,
Breather Bladder,,Survival Gear,An accessory to Breather unit stores waste methane to be used to fuel machinery. ,Trivial,,TRUE,SW.167,
Breather w/extra power,,Survival Gear,Backup power supply for Breather unit increases operational time to 1 week without sunlight.,Moderate,,TRUE,SW.167,
Cold Weather Gear,,Survival Gear,"This is a full suit of clothing for extreme cold weather, including boots, jacket, pants, gloves, face mask, and goggles, with apertures and clips for breathing equipment. Much less bulky than its antique equivalents, these suits allow full maneuverability. They come in two versions",Trivial,,TRUE,,
Cold Weather Gear (survival),,Survival Gear,"This is a full suit of clothing for extreme cold weather, including boots, jacket, pants, gloves, face mask, and goggles, with apertures and clips for breathing equipment. Much less bulky than its antique equivalents, these suits allow full maneuverability.",Low,,TRUE,,
Defense Beacons,,Survival Gear,"Gatecrashers usually have no idea what sort of hostile entities they may face on a new world. When making camp or investigating an area, defense beacons keep gatecrashers from being surprised by dangerous wildlife, rival parties of gatecrashers, or ancient auto- mated defense systems. This set of defense beacons consists of a medium-sized portable pack containing four rods, each half a meter in length and 3 centimeters in diameter. These rods telescope out to 3 meters in height and are designed to be hammered into or attached to any surface.

Each rod contains a series of infrared, radar, and ultrasonic sensors as well as powerful miniature speakers, a stunner, and a microwave agonizer capable of ring in both normal and “roast” mode (p. 339, EP). To use this device, the operator places the four rods upright in a square or rectangle around the camp or other area that they wish to protect. Each rod can be as far as 30 meters from the two nearest rods. Additional defense beacon packs may be deployed to cover a larger perimeter. The operator then designates those individuals and devices that are allowed to freely cross the barrier created by these rods and also determines the minimum size of intruders that will be defended against and the level of defense. Once in place, defense beacons warn everyone inside the camp, using either speakers or radio, of any intruders either coming within 30 meters or attempting to cross the invisible fence created by the four rods. Also, defense beacons can be programmed to use the stunners or microwave agonizers against any intruders (they have Beam Weapons skill 40). Meanwhile, the inhabitants of the camp can walk in or out of the protected area without harm or annoyance.",Moderate,,TRUE,GC.157,
Electrogravitic Net,,Survival Gear,"Also called a safety net, this fail-safe system uses electric fields to counter gravity when falling. While the system is not able to actually levitate heavy objects, it will slow down a fall enough that the user can land safely if the gravitational force is not too high (the fall height is not greater than 50 meters in 1G). Generating these electric fields consumes a lot of energy, so the net is only charged for one use only and needs to be recharged afterwards.",Moderate,,TRUE,EP.332,
Electronic Rope,,Survival Gear,"The fibers in this rope can be controlled electronically, making it move in a snake-like fashion, stiffen up, and even wrap around objects. Typically comes in a 50-meter length capable of supporting 250 kg.",Low,,TRUE,EP.332,
Emergency Bubble,,Survival Gear,"Commonly used as a last resort ""life raft"" on spaceships, an emergency bubble is made of advanced smart materials and comes in a portable package that can be quickly inflated (1 Action Turn) around the user, usually inside an airlock. The bubble has a 5-meter diameter and can comfortably accommodate 4 people. It maintains 1 atmosphere of pressure in a vacuum, protect the inhabitants from temperatures ranging from -175 to 140 C, and provide light, breathable air and water and food recycling for up to four human-sized inhabitants, using its built in maker. It features a simple airlock, carries an emergency distress beacon (below), and can be transparent, opaque, or polarized. It is powered by a small nuclear battery and also includes comfortable inflatable furniture.",Moderate,,TRUE,EP.332,
Emergency Distress Beacon,Emergency Beacon,Survival Gear,"This small but powerful transmitter is powered by a nuclear battery and will broadcast any programmed distress call for years. Though portable and medium-sized, this beacon has a range of 500 km in urban areas and 5,000 km elsewhere.",Moderate,,TRUE,EP.333,
Emergency Rations,,Survival Gear,"Sometimes all technology fails. Even the best makers and life support systems can break down or be disabled by hostile actions. Since alien plants and animals are almost universally inedible, some gatecrashers carry along a supply of compressed emergency rations. The most common form of emergency food is a mini-sized package of 9 small bars that supply complete calories and nutrition for a total of 3 full days. Most people consider food created by even the cheapest maker to be gourmet cuisine when compared to these rations.",Trivial,,TRUE,GC.157,
Filter Straw,,Survival Gear,"Designed to function without power or the need for any active nanotechnology, filter straws contain a set of specially designed self-cleaning microfilters that allow the user to safely drink any liquid that contains even a small amount of water. Filtration straws filter out mud, salt, and all dissolved chemicals or suspended particles. They are the size of large drinking straws and are flexible.",Trivial,,TRUE,GC.159,
Flashlight,,Survival Gear,"These handheld, wearable, or portable lights can display light in the normal visual spectrum, infrared, or ultraviolet, as desired.",Trivial,,TRUE,EP.333,
Healing Pod,,Survival Gear,"Healing vats are too expensive and bulky for most gate- crashers to carry with them. However, both medichines and nanobandages heal wounds at a much slower rate. Also, neither of these two types of medical technology can deal with the most severely wounded morphs. Instead, both place such morphs in medical stasis. Since gatecrashers can rarely afford to either wait several days to heal or to carry around a comrade in medical stasis, a disposable healing pod was developed. This small-sized device contains a wide variety of advanced medical repair and life support nanotechnology.

To use this device, the patient must either be in a functional vacsuit or the healing pod must be connected to a Life-Support Pack (p. 159) and the patient placed into a morph-sized sack that is included with the device. When the healing pod is activated, the unit’s compressed nanobots swarm out, envelop the patient, and thoroughly infiltrate their body. These nanobots heal the patient with the same speed and effectiveness as a healing vat (p. 326, EP). 

A version of the healing pod exists that is designed to repair synthmorphs. It does not require a working vacsuit or an LSP and comes with a limited supply of the raw materials needed for synthmorph repair. A single healing pod can heal either biomorphs or synthmorphs, not both. 

Healing pods can be re-used, but their nanotech is only able to heal a total of 10 wounds. Once a healing pod has healed that many wounds, the medical nanobots have been used up and a new healing pod must be acquired.",Moderate,,TRUE,GC.159,
Hibernation Pod,,Survival Gear,Once activated the device becomes a rigid pod filled with both solid foam and the user. This device works on all biomorphs and pods.,Moderate,,TRUE,RW.193,
Large Air Mask,,Survival Gear,A simple breathing mask with a 12 hour air supply.,Low,,TRUE,PO.157,
Large Oxygen Candles,,Survival Gear,Provides 75 man hours of oxygen when ignited.,Moderate,,TRUE,PO.157,
